name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.26,0.79,0.25,0.52,-0.01,-3.85,-0.27,-34.18
Fury Sliver,tsp,157,0.48,3.79,0.21,1.34,-0.27,-56.25,-2.45,-64.64
Kor Outfitter,zen,21,0.11,1.77,0.17,2.31,0.06,54.55,0.54,30.51
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.03,0.21,0.05,0.19,0.02,66.67,-0.02,-9.52
Web,3ed,229,0.88,,0.89,,0.01,1.14,,
Wastewood Verge,pdft,268p,6.37,7.18,6.97,7.06,0.60,9.42,-0.12,-1.67
Surge of Brilliance,who,57,0.11,4.84,0.24,0.60,0.13,118.18,-4.24,-87.60
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.11,0.12,0.13,0.03,33.33,0.02,18.18
Venerable Knight,eld,35,0.11,0.34,0.13,0.23,0.02,18.18,-0.11,-32.35
Wildcall,ugin,146,1.98,,6.68,,4.70,237.37,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.11,,0.12,,0.01,9.09,,
Swamp,jmp,59,0.21,,0.27,,0.06,28.57,,
Swamp,tmp,340,0.49,,0.48,,-0.01,-2.04,,
Battlewing Mystic,dmu,43,0.07,0.06,0.05,0.08,-0.02,-28.57,0.02,33.33
Birds of Paradise,sld,176,12.47,12.28,10.32,12.02,-2.15,-17.24,-0.26,-2.12
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.11,1.64,-0.06,-35.29,1.14,228.00
Admiral Beckett Brass,plst,XLN-217,0.37,,0.54,,0.17,45.95,,
Ragged Playmate,dsk,150,0.05,0.14,0.06,0.17,0.01,20.00,0.03,21.43
Mulch,c15,191,0.35,,0.26,,-0.09,-25.71,,
Whiptongue Hydra,c18,36,1.12,,0.93,,-0.19,-16.96,,
Wall of Roots,f08,7,,5.04,,2.35,,,-2.69,-53.37
Pugnacious Hammerskull,plci,208p,0.39,0.96,0.47,0.73,0.08,20.51,-0.23,-23.96
War Historian,mom,214,0.02,0.02,0.02,0.05,0.00,0.00,0.03,150.00
Searing Blaze,plst,WWK-90,0.52,,,,,,,
Siren's Call,ced,78,2.19,,0.63,,-1.56,-71.23,,
