name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.33,0.43,0.18,0.54,-0.15,-45.45,0.11,25.58
Fury Sliver,tsp,157,0.55,3.14,0.19,1.28,-0.36,-65.45,-1.86,-59.24
Kor Outfitter,zen,21,0.18,1.77,0.15,2.01,-0.03,-16.67,0.24,13.56
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.08,0.23,0.09,0.22,0.01,12.50,-0.01,-4.35
Web,3ed,229,0.99,,0.87,,-0.12,-12.12,,
Wastewood Verge,pdft,268p,7.85,7.74,7.28,7.31,-0.57,-7.26,-0.43,-5.56
Surge of Brilliance,who,57,0.34,6.90,0.25,0.58,-0.09,-26.47,-6.32,-91.59
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.09,0.03,0.16,-0.06,-66.67,0.07,77.78
Venerable Knight,eld,35,0.21,0.30,0.18,0.45,-0.03,-14.29,0.15,50.00
Wildcall,ugin,146,1.98,,6.68,,4.70,237.37,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.20,,,,,,,
Mystic Skyfish,m21,326,0.16,,0.14,,-0.02,-12.50,,
Swamp,jmp,59,0.34,,0.28,,-0.06,-17.65,,
Swamp,tmp,340,0.56,,0.53,,-0.03,-5.36,,
Battlewing Mystic,dmu,43,0.08,0.05,0.12,0.08,0.04,50.00,0.03,60.00
Birds of Paradise,sld,176,12.88,12.81,11.00,12.89,-1.88,-14.60,0.08,0.62
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.18,0.17,1.63,-0.01,-5.56,0.45,38.14
Admiral Beckett Brass,plst,XLN-217,0.36,,0.33,,-0.03,-8.33,,
Ragged Playmate,dsk,150,0.05,0.18,0.05,0.12,0.00,0.00,-0.06,-33.33
Mulch,c15,191,0.36,,0.18,,-0.18,-50.00,,
Whiptongue Hydra,c18,36,1.14,,0.83,,-0.31,-27.19,,
Wall of Roots,f08,7,,5.07,,2.55,,,-2.52,-49.70
Pugnacious Hammerskull,plci,208p,0.39,0.99,0.43,0.73,0.04,10.26,-0.26,-26.26
War Historian,mom,214,0.03,0.02,0.04,0.04,0.01,33.33,0.02,100.00
