name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.29,0.43,0.27,0.50,-0.02,-6.90,0.07,16.28
Fury Sliver,tsp,157,0.55,2.94,0.13,1.28,-0.42,-76.36,-1.66,-56.46
Kor Outfitter,zen,21,0.19,1.69,0.27,2.01,0.08,42.11,0.32,18.93
Spirit,tmm2,5,0.17,,0.06,,-0.11,-64.71,,
Siren Lookout,xln,78,0.17,0.35,0.08,0.22,-0.09,-52.94,-0.13,-37.14
Web,3ed,229,1.05,,0.88,,-0.17,-16.19,,
Wastewood Verge,pdft,268p,8.10,8.77,7.99,7.77,-0.11,-1.36,-1.00,-11.40
Surge of Brilliance,who,57,0.30,6.89,0.20,0.62,-0.10,-33.33,-6.27,-91.00
Obyra's Attendants // Desperate Parry,woe,63,0.08,0.10,0.08,0.16,0.00,0.00,0.06,60.00
Venerable Knight,eld,35,0.23,0.32,0.08,0.50,-0.15,-65.22,0.18,56.25
Wildcall,ugin,146,1.59,,6.68,,5.09,320.13,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.21,,,,,,,
Mystic Skyfish,m21,326,0.20,,0.16,,-0.04,-20.00,,
Swamp,jmp,59,0.37,,0.19,,-0.18,-48.65,,
Swamp,tmp,340,0.54,,0.32,,-0.22,-40.74,,
Battlewing Mystic,dmu,43,0.09,0.19,0.13,0.10,0.04,44.44,-0.09,-47.37
Birds of Paradise,sld,176,13.06,13.25,11.44,14.20,-1.62,-12.40,0.95,7.17
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.19,1.18,0.14,1.38,-0.05,-26.32,0.20,16.95
Admiral Beckett Brass,plst,XLN-217,0.31,,0.29,,-0.02,-6.45,,
Ragged Playmate,dsk,150,0.05,0.19,0.09,0.07,0.04,80.00,-0.12,-63.16
Mulch,c15,191,0.36,,0.17,,-0.19,-52.78,,
Whiptongue Hydra,c18,36,1.33,,0.56,,-0.77,-57.89,,
Wall of Roots,f08,7,,5.10,,2.79,,,-2.31,-45.29
Pugnacious Hammerskull,plci,208p,0.84,0.99,0.45,0.73,-0.39,-46.43,-0.26,-26.26
War Historian,mom,214,0.04,0.03,0.04,0.04,0.00,0.00,0.01,33.33
Searing Blaze,plst,WWK-90,0.46,,,,,,,
Siren's Call,ced,78,2.06,,0.86,,-1.20,-58.25,,
Mystical Tutor,dmr,421,18.55,21.86,10.93,14.71,-7.62,-41.08,-7.15,-32.71
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.20,0.56,0.10,0.34,-0.10,-50.00,-0.22,-39.29
Selvala's Enforcer,cns,40,0.13,0.60,0.08,0.33,-0.05,-38.46,-0.27,-45.00
Coalstoke Gearhulk,pdft,198s,,1.40,,0.79,,,-0.61,-43.57
Fresh Meat,nph,109,0.26,1.17,0.22,1.15,-0.04,-15.38,-0.02,-1.71
Orzhov Guildgate,gtc,244,0.29,0.70,0.09,0.79,-0.20,-68.97,0.09,12.86
Mortify,ltc,269,0.30,,0.19,,-0.11,-36.67,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.48,20.41,18.47,20.40,-0.01,-0.05,-0.01,-0.05
Paradise Druid,woc,129,0.28,,0.26,,-0.02,-7.14,,
Run Away Together,woc,108,0.33,,0.09,,-0.24,-72.73,,
Sinew Sliver,tsr,44,0.47,2.85,0.17,1.16,-0.30,-63.83,-1.69,-59.30
Charge,dom,10,0.04,0.30,0.12,0.16,0.08,200.00,-0.14,-46.67
Island,eld,255,0.17,0.14,0.04,0.15,-0.13,-76.47,0.01,7.14
Novice Knight,m19,30,0.11,0.58,0.18,0.35,0.07,63.64,-0.23,-39.66
Fallen Askari,vis,59,0.12,,0.11,,-0.01,-8.33,,
Altar's Reap,plst,DDR-37,0.14,,0.34,,0.20,142.86,,
"Lavinia, Azorius Renegade",rvr,370,0.35,0.37,0.51,1.33,0.16,45.71,0.96,259.46
"Odric, Master Tactician",c20,96,0.44,,0.36,,-0.08,-18.18,,
Afflict,ody,115,0.11,0.55,0.06,0.55,-0.05,-45.45,0.00,0.00
Crown of Gondor,ltc,75,0.40,,0.58,,0.18,45.00,,
Invisible Stalker,isd,60,1.02,10.73,0.79,3.11,-0.23,-22.55,-7.62,-71.02
"Dakkon, Shadow Slayer",mh2,192,0.70,1.56,0.65,1.06,-0.05,-7.14,-0.50,-32.05
Shahrazad,arn,10,455.33,,332.09,,-123.24,-27.07,,
Destructive Tampering,aer,78,0.04,0.25,0.04,0.16,0.00,0.00,-0.09,-36.00
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.28,,0.24,,-0.04,-14.29,,
Nocturnal Raid,mir,132,0.22,,0.13,,-0.09,-40.91,,
Temporal Manipulation,sld,1169,16.73,16.92,14.49,15.60,-2.24,-13.39,-1.32,-7.80
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.27,0.36,0.27,0.31,0.00,0.00,-0.05,-13.89
Vaevictis Asmadi,bchr,89,,,2.17,,,,,
Flensermite,mbs,41,0.25,1.35,0.24,1.42,-0.01,-4.00,0.07,5.19
Triskelion,plst,M11-218,,0.66,,0.42,,,-0.24,-36.36
Rite of the Raging Storm,ncc,274,1.13,,0.45,,-0.68,-60.18,,
Lonely Sandbar,sld,2161,0.52,,0.62,,0.10,19.23,,
"Gorion, Wise Mentor",clb,276,0.20,0.19,0.12,0.27,-0.08,-40.00,0.08,42.11
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.14,0.25,0.08,0.18,-0.06,-42.86,-0.07,-28.00
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.33,0.56,0.26,0.68,-0.07,-21.21,0.12,21.43
Island,fbb,297,6.67,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.63,5.63,0.80,6.23,0.17,26.98,0.60,10.66
Rogue Kavu,9ed,213★,,0.21,,,,,,
Ornery Tumblewagg,otj,171,0.32,0.39,0.23,0.47,-0.09,-28.12,0.08,20.51
Harbinger of the Seas,mh3,63,1.76,2.81,3.21,4.57,1.45,82.39,1.76,62.63
Mad Auntie,mma,90,0.75,0.90,0.56,1.19,-0.19,-25.33,0.29,32.22
Coral Eel,9ed,S3,0.16,,0.51,,0.35,218.75,,
Midnight Clock,m3c,189,0.32,,0.25,0.82,-0.07,-21.88,,
Invasion of Tolvada // The Broken Sky,mom,241,0.37,0.39,0.30,0.43,-0.07,-18.92,0.04,10.26
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.26,,0.35,,0.09,34.62,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.30,,0.54,,0.24,80.00,,
Eumidian Hatchery,eoc,40,1.03,,1.82,,0.79,76.70,,
"Lazav, Familiar Stranger",otj,216,0.14,0.29,0.12,0.13,-0.02,-14.29,-0.16,-55.17
Plains,cma,292,,,0.15,,,,,
Plains,brb,128,0.80,,1.60,,0.80,100.00,,
"Edric, Spymaster of Trest",cns,187,2.15,11.30,0.76,5.82,-1.39,-64.65,-5.48,-48.50
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,0.47,,,,,,
Bubbling Beebles,uds,29,0.17,7.28,0.09,3.84,-0.08,-47.06,-3.44,-47.25
Second Breakfast,ltr,29,0.14,0.18,0.03,0.13,-0.11,-78.57,-0.05,-27.78
"Ulasht, the Hate Seed",2x2,289,0.22,0.38,0.11,0.47,-0.11,-50.00,0.09,23.68
Unholy Strength,7ed,168,0.15,,0.08,,-0.07,-46.67,,
Forest,wc02,rl349,1.99,,,,,,,
Consecrate // Consume,rna,224,0.20,0.26,0.12,0.57,-0.08,-40.00,0.31,119.23
