name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.30,0.53,0.27,0.56,-0.03,-10.00,0.03,5.66
Fury Sliver,tsp,157,0.55,3.79,0.27,1.45,-0.28,-50.91,-2.34,-61.74
Kor Outfitter,zen,21,0.14,1.77,0.10,2.29,-0.04,-28.57,0.52,29.38
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.05,0.23,0.04,0.23,-0.01,-20.00,0.00,0.00
Web,3ed,229,0.88,,0.76,,-0.12,-13.64,,
Wastewood Verge,pdft,268p,7.54,7.72,7.03,7.05,-0.51,-6.76,-0.67,-8.68
Surge of Brilliance,who,57,0.29,4.84,0.21,0.60,-0.08,-27.59,-4.24,-87.60
Obyra's Attendants // Desperate Parry,woe,63,0.10,0.09,0.14,0.16,0.04,40.00,0.07,77.78
Venerable Knight,eld,35,0.09,0.34,0.09,0.23,0.00,0.00,-0.11,-32.35
Wildcall,ugin,146,1.98,,6.68,,4.70,237.37,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.13,,0.12,,-0.01,-7.69,,
Swamp,jmp,59,0.24,,0.18,,-0.06,-25.00,,
Swamp,tmp,340,0.47,,0.31,,-0.16,-34.04,,
Battlewing Mystic,dmu,43,0.06,0.06,0.07,0.08,0.01,16.67,0.02,33.33
Birds of Paradise,sld,176,12.67,12.42,10.08,11.61,-2.59,-20.44,-0.81,-6.52
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.89,0.17,1.64,0.00,0.00,0.75,84.27
Admiral Beckett Brass,plst,XLN-217,0.35,,0.49,,0.14,40.00,,
Ragged Playmate,dsk,150,0.09,0.14,0.06,0.17,-0.03,-33.33,0.03,21.43
Mulch,c15,191,0.37,,0.26,,-0.11,-29.73,,
Whiptongue Hydra,c18,36,1.13,,0.63,,-0.50,-44.25,,
Wall of Roots,f08,7,,5.04,,2.67,,,-2.37,-47.02
Pugnacious Hammerskull,plci,208p,0.39,0.99,0.49,0.73,0.10,25.64,-0.26,-26.26
War Historian,mom,214,0.03,0.02,0.02,0.05,-0.01,-33.33,0.03,150.00
Searing Blaze,plst,WWK-90,0.48,,,,,,,
Siren's Call,ced,78,2.19,,0.58,,-1.61,-73.52,,
Mystical Tutor,dmr,421,12.86,17.66,10.50,12.69,-2.36,-18.35,-4.97,-28.14
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.23,0.50,0.25,0.34,0.02,8.70,-0.16,-32.00
Selvala's Enforcer,cns,40,0.17,0.60,0.09,0.32,-0.08,-47.06,-0.28,-46.67
Coalstoke Gearhulk,pdft,198s,,1.44,,0.97,,,-0.47,-32.64
Fresh Meat,nph,109,0.23,0.95,0.23,1.39,0.00,0.00,0.44,46.32
Orzhov Guildgate,gtc,244,0.15,0.67,0.09,0.76,-0.06,-40.00,0.09,13.43
Mortify,ltc,269,0.29,,0.17,,-0.12,-41.38,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.95,20.25,16.94,19.86,-2.01,-10.61,-0.39,-1.93
Paradise Druid,woc,129,0.23,,0.13,,-0.10,-43.48,,
Run Away Together,woc,108,0.10,,0.13,,0.03,30.00,,
Sinew Sliver,tsr,44,0.34,2.35,0.15,0.90,-0.19,-55.88,-1.45,-61.70
Charge,dom,10,0.04,0.26,0.05,0.18,0.01,25.00,-0.08,-30.77
Island,eld,255,0.09,0.16,0.04,0.14,-0.05,-55.56,-0.02,-12.50
Novice Knight,m19,30,0.09,0.58,0.09,0.35,0.00,0.00,-0.23,-39.66
Fallen Askari,vis,59,0.15,,0.11,,-0.04,-26.67,,
Altar's Reap,plst,DDR-37,0.16,,0.15,,-0.01,-6.25,,
"Lavinia, Azorius Renegade",rvr,370,0.34,0.36,0.69,1.00,0.35,102.94,0.64,177.78
"Odric, Master Tactician",c20,96,0.43,,0.24,,-0.19,-44.19,,
Afflict,ody,115,0.06,0.55,0.07,0.49,0.01,16.67,-0.06,-10.91
Crown of Gondor,ltc,75,0.30,,0.58,,0.28,93.33,,
Invisible Stalker,isd,60,0.90,10.32,1.06,3.51,0.16,17.78,-6.81,-65.99
"Dakkon, Shadow Slayer",mh2,192,0.53,1.27,0.53,1.70,0.00,0.00,0.43,33.86
Shahrazad,arn,10,452.50,,330.80,,-121.70,-26.90,,
Destructive Tampering,aer,78,0.02,0.22,0.06,0.16,0.04,200.00,-0.06,-27.27
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.28,,0.30,,0.02,7.14,,
Nocturnal Raid,mir,132,0.22,,0.11,,-0.11,-50.00,,
Temporal Manipulation,sld,1169,16.83,17.01,16.36,15.64,-0.47,-2.79,-1.37,-8.05
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.21,0.31,0.24,0.35,0.03,14.29,0.04,12.90
Vaevictis Asmadi,bchr,89,,,,,,,,
Flensermite,mbs,41,0.22,1.11,0.24,1.41,0.02,9.09,0.30,27.03
Triskelion,plst,M11-218,,0.44,,0.20,,,-0.24,-54.55
Rite of the Raging Storm,ncc,274,2.42,,0.56,,-1.86,-76.86,,
Lonely Sandbar,sld,2161,,,,,,,,
"Gorion, Wise Mentor",clb,276,0.11,0.13,0.12,0.24,0.01,9.09,0.11,84.62
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.16,0.28,0.09,0.18,-0.07,-43.75,-0.10,-35.71
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.31,0.51,0.26,0.52,-0.05,-16.13,0.01,1.96
Island,fbb,297,4.40,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.88,8.18,1.37,8.27,0.49,55.68,0.09,1.10
Rogue Kavu,9ed,213★,,0.21,,,,,,
Ornery Tumblewagg,otj,171,0.28,0.30,0.32,0.34,0.04,14.29,0.04,13.33
Harbinger of the Seas,mh3,63,1.82,2.87,3.64,5.37,1.82,100.00,2.50,87.11
Mad Auntie,mma,90,0.46,1.01,0.90,1.19,0.44,95.65,0.18,17.82
Coral Eel,9ed,S3,0.16,,0.58,,0.42,262.50,,
Midnight Clock,m3c,189,0.43,,0.24,0.82,-0.19,-44.19,,
Invasion of Tolvada // The Broken Sky,mom,241,0.27,0.38,0.50,0.37,0.23,85.19,-0.01,-2.63
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.24,,0.32,,0.08,33.33,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.30,,0.63,,0.33,110.00,,
Eumidian Hatchery,eoc,40,1.09,,2.26,,1.17,107.34,,
"Lazav, Familiar Stranger",otj,216,0.09,0.18,0.12,0.11,0.03,33.33,-0.07,-38.89
Plains,cma,292,0.25,,0.14,,-0.11,-44.00,,
Plains,brb,128,0.87,,1.59,,0.72,82.76,,
"Edric, Spymaster of Trest",cns,187,1.49,8.38,0.78,5.36,-0.71,-47.65,-3.02,-36.04
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,1.05,,,,,,
Bubbling Beebles,uds,29,0.13,6.61,0.09,3.90,-0.04,-30.77,-2.71,-41.00
Second Breakfast,ltr,29,0.10,0.17,0.06,0.05,-0.04,-40.00,-0.12,-70.59
"Ulasht, the Hate Seed",2x2,289,0.15,0.31,0.16,0.51,0.01,6.67,0.20,64.52
Unholy Strength,7ed,168,0.11,,0.16,,0.05,45.45,,
Forest,wc02,rl349,1.99,,,,,,,
Consecrate // Consume,rna,224,0.11,0.17,0.10,0.48,-0.01,-9.09,0.31,182.35
Thornwood Falls,ema,246,0.08,0.36,0.10,0.27,0.02,25.00,-0.09,-25.00
Goblin Bowling Team,ugl,44,0.32,,0.21,,-0.11,-34.38,,
Improvised Arsenal,tmt,92,14.99,,2.99,,-12.00,-80.05,,
Elvish Aberration,pal03,7,,1.83,,0.80,,,-1.03,-56.28
"Farid, Enterprising Salvager",brc,13,0.14,,0.25,,0.11,78.57,,
Wings of Aesthir,me2,199,,,,,,,,
Mwonvuli Beast Tracker,m13,177,0.22,1.19,0.24,0.86,0.02,9.09,-0.33,-27.73
Return to Dust,khc,32,0.12,,0.17,,0.05,41.67,,
Emberheart Challenger,blb,133,1.58,2.73,2.64,3.10,1.06,67.09,0.37,13.55
Royal Assassin,dmr,310,0.53,0.88,0.45,1.06,-0.08,-15.09,0.18,20.45
