name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.24,0.89,0.26,0.58,0.02,8.33,-0.31,-34.83
Fury Sliver,tsp,157,0.46,3.79,0.26,1.34,-0.20,-43.48,-2.45,-64.64
Kor Outfitter,zen,21,0.11,1.77,0.17,2.31,0.06,54.55,0.54,30.51
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.04,0.21,0.04,0.19,0.00,0.00,-0.02,-9.52
Web,3ed,229,0.88,,0.77,,-0.11,-12.50,,
Wastewood Verge,pdft,268p,6.39,7.16,7.13,7.15,0.74,11.58,-0.01,-0.14
Surge of Brilliance,who,57,0.22,4.84,0.22,0.65,0.00,0.00,-4.19,-86.57
Obyra's Attendants // Desperate Parry,woe,63,0.08,0.13,0.04,0.14,-0.04,-50.00,0.01,7.69
Venerable Knight,eld,35,0.14,0.34,0.10,0.25,-0.04,-28.57,-0.09,-26.47
Wildcall,ugin,146,1.98,,7.02,,5.04,254.55,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.10,,0.12,,0.02,20.00,,
Swamp,jmp,59,0.22,,0.38,,0.16,72.73,,
Swamp,tmp,340,0.50,,0.38,,-0.12,-24.00,,
Battlewing Mystic,dmu,43,0.07,0.07,0.07,0.08,0.00,0.00,0.01,14.29
Birds of Paradise,sld,176,12.02,12.04,9.90,10.75,-2.12,-17.64,-1.29,-10.71
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.13,1.55,-0.04,-23.53,1.05,210.00
Admiral Beckett Brass,plst,XLN-217,0.35,,0.28,,-0.07,-20.00,,
Ragged Playmate,dsk,150,0.07,0.13,0.11,0.12,0.04,57.14,-0.01,-7.69
Mulch,c15,191,0.37,,0.24,,-0.13,-35.14,,
Whiptongue Hydra,c18,36,0.97,,1.08,,0.11,11.34,,
Wall of Roots,f08,7,,4.73,,2.23,,,-2.50,-52.85
Pugnacious Hammerskull,plci,208p,0.39,0.78,0.47,0.73,0.08,20.51,-0.05,-6.41
War Historian,mom,214,0.02,0.02,0.02,0.04,0.00,0.00,0.02,100.00
Searing Blaze,plst,WWK-90,0.60,,,,,,,
Siren's Call,ced,78,2.18,,0.63,,-1.55,-71.10,,
Mystical Tutor,dmr,421,12.76,17.15,9.45,13.23,-3.31,-25.94,-3.92,-22.86
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.18,0.47,0.11,0.35,-0.07,-38.89,-0.12,-25.53
Selvala's Enforcer,cns,40,0.18,0.60,0.11,0.32,-0.07,-38.89,-0.28,-46.67
Coalstoke Gearhulk,pdft,198s,,1.37,,1.57,,,0.20,14.60
Fresh Meat,nph,109,0.25,0.95,0.17,1.39,-0.08,-32.00,0.44,46.32
Orzhov Guildgate,gtc,244,0.11,0.66,0.11,0.71,0.00,0.00,0.05,7.58
Mortify,ltc,269,0.19,,0.17,,-0.02,-10.53,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.96,20.18,16.15,18.22,-2.81,-14.82,-1.96,-9.71
Paradise Druid,woc,129,0.17,,0.21,,0.04,23.53,,
Run Away Together,woc,108,0.11,,0.08,,-0.03,-27.27,,
Sinew Sliver,tsr,44,0.36,2.01,0.24,0.94,-0.12,-33.33,-1.07,-53.23
Charge,dom,10,0.04,0.36,0.05,0.20,0.01,25.00,-0.16,-44.44
Island,eld,255,0.11,0.13,0.03,0.21,-0.08,-72.73,0.08,61.54
Novice Knight,m19,30,0.07,0.53,0.09,0.35,0.02,28.57,-0.18,-33.96
Fallen Askari,vis,59,0.16,,0.11,,-0.05,-31.25,,
Altar's Reap,plst,DDR-37,0.15,,0.16,,0.01,6.67,,
"Lavinia, Azorius Renegade",rvr,370,0.33,0.45,0.67,0.84,0.34,103.03,0.39,86.67
"Odric, Master Tactician",c20,96,0.27,,0.30,,0.03,11.11,,
Afflict,ody,115,0.06,0.80,0.10,0.40,0.04,66.67,-0.40,-50.00
Crown of Gondor,ltc,75,0.26,,0.44,,0.18,69.23,,
Invisible Stalker,isd,60,0.65,9.54,1.14,4.69,0.49,75.38,-4.85,-50.84
"Dakkon, Shadow Slayer",mh2,192,0.67,1.26,0.83,1.72,0.16,23.88,0.46,36.51
Shahrazad,arn,10,453.33,,327.87,,-125.46,-27.68,,
Destructive Tampering,aer,78,0.02,0.20,0.02,0.15,0.00,0.00,-0.05,-25.00
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.22,,0.31,,0.09,40.91,,
Nocturnal Raid,mir,132,0.22,,0.23,,0.01,4.55,,
Temporal Manipulation,sld,1169,16.70,16.90,15.72,16.56,-0.98,-5.87,-0.34,-2.01
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.21,0.30,0.32,0.45,0.11,52.38,0.15,50.00
Vaevictis Asmadi,bchr,89,,,,,,,,
Flensermite,mbs,41,0.24,1.14,0.30,1.41,0.06,25.00,0.27,23.68
Triskelion,plst,M11-218,,0.45,,0.28,,,-0.17,-37.78
Rite of the Raging Storm,ncc,274,5.37,,0.45,,-4.92,-91.62,,
Lonely Sandbar,sld,2161,,,,,,,,
"Gorion, Wise Mentor",clb,276,0.08,0.13,0.16,0.19,0.08,100.00,0.06,46.15
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.18,0.36,0.08,0.18,-0.10,-55.56,-0.18,-50.00
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.31,0.55,0.28,0.51,-0.03,-9.68,-0.04,-7.27
Island,fbb,297,4.25,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.85,9.07,1.76,8.79,0.91,107.06,-0.28,-3.09
Rogue Kavu,9ed,213★,,0.21,,,,,,
Ornery Tumblewagg,otj,171,0.18,0.26,0.32,0.47,0.14,77.78,0.21,80.77
Harbinger of the Seas,mh3,63,1.76,2.96,3.64,5.08,1.88,106.82,2.12,71.62
Mad Auntie,mma,90,0.47,1.34,0.52,0.97,0.05,10.64,-0.37,-27.61
Coral Eel,9ed,S3,0.16,,0.58,,0.42,262.50,,
Midnight Clock,m3c,189,0.30,,0.25,0.82,-0.05,-16.67,,
Invasion of Tolvada // The Broken Sky,mom,241,0.27,0.36,0.26,0.30,-0.01,-3.70,-0.06,-16.67
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.25,,0.39,,0.14,56.00,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.32,,0.47,,0.15,46.87,,
Eumidian Hatchery,eoc,40,1.52,,,,,,,
"Lazav, Familiar Stranger",otj,216,0.12,0.09,0.10,0.16,-0.02,-16.67,0.07,77.78
Plains,cma,292,0.25,,0.14,,-0.11,-44.00,,
Plains,brb,128,0.87,,1.68,,0.81,93.10,,
"Edric, Spymaster of Trest",cns,187,1.06,8.75,1.09,5.67,0.03,2.83,-3.08,-35.20
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,1.05,,,,,,
Bubbling Beebles,uds,29,0.13,5.98,0.12,3.49,-0.01,-7.69,-2.49,-41.64
Second Breakfast,ltr,29,0.06,0.13,0.08,0.19,0.02,33.33,0.06,46.15
"Ulasht, the Hate Seed",2x2,289,0.16,0.29,0.13,0.51,-0.03,-18.75,0.22,75.86
Unholy Strength,7ed,168,0.10,,0.06,,-0.04,-40.00,,
Forest,wc02,rl349,1.99,,,,,,,
Consecrate // Consume,rna,224,0.11,0.14,0.15,0.46,0.04,36.36,0.32,228.57
Thornwood Falls,ema,246,0.07,0.30,0.06,0.27,-0.01,-14.29,-0.03,-10.00
Goblin Bowling Team,ugl,44,0.31,,0.28,,-0.03,-9.68,,
Elvish Aberration,pal03,7,,1.99,,0.79,,,-1.20,-60.30
"Farid, Enterprising Salvager",brc,13,0.62,,0.23,,-0.39,-62.90,,
Wings of Aesthir,me2,199,,,,,,,,
Mwonvuli Beast Tracker,m13,177,0.20,1.19,0.16,0.87,-0.04,-20.00,-0.32,-26.89
Return to Dust,khc,32,0.11,,0.19,,0.08,72.73,,
Emberheart Challenger,blb,133,2.30,2.35,2.54,2.81,0.24,10.43,0.46,19.57
Royal Assassin,dmr,310,0.48,0.70,0.50,1.10,0.02,4.17,0.40,57.14
Shock,aer,98,0.07,0.19,0.10,0.92,0.03,42.86,0.73,384.21
Eldrazi Temple,sld,1154,49.76,55.61,45.37,68.61,-4.39,-8.82,13.00,23.38
Voyager Glidecar,pdft,36p,0.39,0.31,0.12,0.30,-0.27,-69.23,-0.01,-3.23
Walk the Plank,xln,130,0.12,0.52,0.08,0.28,-0.04,-33.33,-0.24,-46.15
Sphinx's Revelation,mm3,187,1.08,1.80,1.06,0.87,-0.02,-1.85,-0.93,-51.67
Mise,unh,38,0.23,6.00,0.19,1.66,-0.04,-17.39,-4.34,-72.33
Kor Entanglers,bfz,36,0.10,0.48,0.09,0.30,-0.01,-10.00,-0.18,-37.50
Tail Swipe,j25,721,0.34,,0.21,,-0.13,-38.24,,
Briarbridge Patrol,sir,187,,,,,,,,
The Restoration of Eiganjo // Architect of Restoration,prm,97897,,,,,,,,
Spread the Sickness,mm2,98,0.16,0.48,0.29,0.30,0.13,81.25,-0.18,-37.50
"Izoni, Thousand-Eyed",gk1,50,,0.83,,1.12,,,0.29,34.94
Oracle of the Alpha,ydmu,4,,,,,,,,
"Alesha, Who Laughs at Fate",fdn,476,2.60,3.01,1.90,3.09,-0.70,-26.92,0.08,2.66
Duelist's Heritage,c16,1,1.70,,1.44,,-0.26,-15.29,,
"Lazav, Dimir Mastermind",znc,92,0.70,,0.62,,-0.08,-11.43,,
Celestial Kirin,sok,3,0.66,11.82,0.59,8.56,-0.07,-10.61,-3.26,-27.58
Courage in Crisis,plst,WAR-158,0.18,,,,,,,
Green Sun's Twilight,pone,169p,0.27,0.33,0.17,0.48,-0.10,-37.04,0.15,45.45
Talisman of Curiosity,m3c,309,0.65,,0.32,2.54,-0.33,-50.77,,
"Snapdax, Apex of the Hunt",piko,209p,0.69,0.74,1.25,2.04,0.56,81.16,1.30,175.68
Ornithopter,5ed,393,0.57,,0.91,,0.34,59.65,,
"Kamahl, Pit Fighter",p15a,2,,0.86,,1.15,,,0.29,33.72
Saheeli's Directive,pz2,70675,,,,,,,,
Festering Goblin,9ed,130,0.11,,0.10,,-0.01,-9.09,,
Reality Smasher,sld,1153,11.09,9.65,7.36,8.06,-3.73,-33.63,-1.59,-16.48
