name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.32,0.36,0.17,0.44,-0.15,-46.88,0.08,22.22
Fury Sliver,tsp,157,0.55,3.79,0.07,1.28,-0.48,-87.27,-2.51,-66.23
Kor Outfitter,zen,21,0.16,1.77,0.14,2.29,-0.02,-12.50,0.52,29.38
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.07,0.23,0.10,0.22,0.03,42.86,-0.01,-4.35
Web,3ed,229,0.96,,0.67,,-0.29,-30.21,,
Wastewood Verge,pdft,268p,7.76,7.74,7.27,7.31,-0.49,-6.31,-0.43,-5.56
Surge of Brilliance,who,57,0.33,5.85,0.26,0.62,-0.07,-21.21,-5.23,-89.40
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.10,0.07,0.16,-0.02,-22.22,0.06,60.00
Venerable Knight,eld,35,0.15,0.33,0.18,0.39,0.03,20.00,0.06,18.18
Wildcall,ugin,146,1.52,,6.68,,5.16,339.47,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.20,,,,,,,
Mystic Skyfish,m21,326,0.16,,0.14,,-0.02,-12.50,,
Swamp,jmp,59,0.29,,0.31,,0.02,6.90,,
Swamp,tmp,340,0.55,,0.48,,-0.07,-12.73,,
Battlewing Mystic,dmu,43,0.08,0.04,0.08,0.08,0.00,0.00,0.04,100.00
Birds of Paradise,sld,176,12.61,12.78,10.79,13.14,-1.82,-14.43,0.36,2.82
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.05,0.19,1.63,0.01,5.56,0.58,55.24
Admiral Beckett Brass,plst,XLN-217,0.36,,0.37,,0.01,2.78,,
Ragged Playmate,dsk,150,0.15,0.18,0.07,0.20,-0.08,-53.33,0.02,11.11
Mulch,c15,191,0.33,,0.18,,-0.15,-45.45,,
Whiptongue Hydra,c18,36,1.16,,0.67,,-0.49,-42.24,,
Wall of Roots,f08,7,,5.02,,2.59,,,-2.43,-48.41
Pugnacious Hammerskull,plci,208p,0.39,0.99,0.42,0.73,0.03,7.69,-0.26,-26.26
War Historian,mom,214,0.03,0.01,0.02,0.04,-0.01,-33.33,0.03,300.00
Searing Blaze,plst,WWK-90,0.44,,,,,,,
Siren's Call,ced,78,2.09,,0.59,,-1.50,-71.77,,
Mystical Tutor,dmr,421,13.86,15.80,10.04,13.59,-3.82,-27.56,-2.21,-13.99
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.20,0.53,0.14,0.34,-0.06,-30.00,-0.19,-35.85
Selvala's Enforcer,cns,40,0.15,0.60,0.09,0.32,-0.06,-40.00,-0.28,-46.67
Coalstoke Gearhulk,pdft,198s,,1.26,,0.97,,,-0.29,-23.02
Fresh Meat,nph,109,0.22,0.95,0.19,1.39,-0.03,-13.64,0.44,46.32
Orzhov Guildgate,gtc,244,0.24,0.69,0.05,0.83,-0.19,-79.17,0.14,20.29
Mortify,ltc,269,0.35,,0.22,,-0.13,-37.14,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.73,20.52,18.47,19.83,-0.26,-1.39,-0.69,-3.36
Paradise Druid,woc,129,0.38,,0.17,,-0.21,-55.26,,
Run Away Together,woc,108,0.14,,0.12,,-0.02,-14.29,,
Sinew Sliver,tsr,44,0.44,2.84,0.25,1.10,-0.19,-43.18,-1.74,-61.27
Charge,dom,10,0.04,0.34,0.06,0.18,0.02,50.00,-0.16,-47.06
Island,eld,255,0.12,0.13,0.04,0.14,-0.08,-66.67,0.01,7.69
Novice Knight,m19,30,0.10,0.56,0.15,0.38,0.05,50.00,-0.18,-32.14
Fallen Askari,vis,59,0.15,,0.08,,-0.07,-46.67,,
Altar's Reap,plst,DDR-37,0.14,,0.16,,0.02,14.29,,
"Lavinia, Azorius Renegade",rvr,370,0.37,0.38,0.59,1.54,0.22,59.46,1.16,305.26
"Odric, Master Tactician",c20,96,0.35,,0.35,,0.00,0.00,,
Afflict,ody,115,0.06,0.55,0.07,0.54,0.01,16.67,-0.01,-1.82
Crown of Gondor,ltc,75,0.37,,0.57,,0.20,54.05,,
Invisible Stalker,isd,60,0.81,10.43,0.66,2.28,-0.15,-18.52,-8.15,-78.14
"Dakkon, Shadow Slayer",mh2,192,0.63,1.44,0.52,1.41,-0.11,-17.46,-0.03,-2.08
Shahrazad,arn,10,452.50,,315.83,,-136.67,-30.20,,
Destructive Tampering,aer,78,0.02,0.23,0.07,0.16,0.05,250.00,-0.07,-30.43
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.30,,0.27,,-0.03,-10.00,,
Nocturnal Raid,mir,132,0.21,,0.17,,-0.04,-19.05,,
Temporal Manipulation,sld,1169,16.79,17.13,15.10,15.16,-1.69,-10.07,-1.97,-11.50
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.28,0.30,0.20,0.42,-0.08,-28.57,0.12,40.00
Vaevictis Asmadi,bchr,89,,,,,,,,
Flensermite,mbs,41,0.21,1.14,0.23,1.59,0.02,9.52,0.45,39.47
Triskelion,plst,M11-218,,0.53,,0.21,,,-0.32,-60.38
Rite of the Raging Storm,ncc,274,1.46,,0.38,,-1.08,-73.97,,
Lonely Sandbar,sld,2161,,,,,,,,
"Gorion, Wise Mentor",clb,276,0.21,0.18,0.12,0.25,-0.09,-42.86,0.07,38.89
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.16,0.06,0.12,0.17,-0.04,-25.00,0.11,183.33
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.32,0.79,0.25,0.83,-0.07,-21.88,0.04,5.06
Island,fbb,297,4.40,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.81,7.21,1.09,7.50,0.28,34.57,0.29,4.02
Rogue Kavu,9ed,213★,,0.21,,,,,,
Ornery Tumblewagg,otj,171,0.31,0.34,0.24,0.38,-0.07,-22.58,0.04,11.76
Harbinger of the Seas,mh3,63,1.87,2.63,3.39,4.45,1.52,81.28,1.82,69.20
Mad Auntie,mma,90,0.59,0.87,0.70,1.29,0.11,18.64,0.42,48.28
Coral Eel,9ed,S3,0.16,,0.58,,0.42,262.50,,
Midnight Clock,m3c,189,0.28,,0.26,0.82,-0.02,-7.14,,
Invasion of Tolvada // The Broken Sky,mom,241,0.21,0.38,0.39,0.53,0.18,85.71,0.15,39.47
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.22,,0.36,,0.14,63.64,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.31,,0.60,,0.29,93.55,,
Eumidian Hatchery,eoc,40,0.87,,2.63,,1.76,202.30,,
"Lazav, Familiar Stranger",otj,216,0.11,0.27,0.13,0.22,0.02,18.18,-0.05,-18.52
Plains,cma,292,0.25,,0.14,,-0.11,-44.00,,
Plains,brb,128,0.87,,1.59,,0.72,82.76,,
"Edric, Spymaster of Trest",cns,187,2.64,8.38,0.98,5.36,-1.66,-62.88,-3.02,-36.04
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,0.47,,,,,,
Bubbling Beebles,uds,29,0.15,7.28,0.14,3.54,-0.01,-6.67,-3.74,-51.37
Second Breakfast,ltr,29,0.18,0.18,0.07,0.10,-0.11,-61.11,-0.08,-44.44
"Ulasht, the Hate Seed",2x2,289,0.20,0.31,0.13,0.54,-0.07,-35.00,0.23,74.19
Unholy Strength,7ed,168,0.10,,0.16,,0.06,60.00,,
Forest,wc02,rl349,1.99,,,,,,,
Consecrate // Consume,rna,224,0.15,0.21,0.16,0.51,0.01,6.67,0.30,142.86
Thornwood Falls,ema,246,0.09,0.30,0.07,0.26,-0.02,-22.22,-0.04,-13.33
Goblin Bowling Team,ugl,44,0.33,,0.14,,-0.19,-57.58,,
Improvised Arsenal,tmt,92,0.58,0.98,0.36,0.48,-0.22,-37.93,-0.50,-51.02
Elvish Aberration,pal03,7,,1.83,,0.76,,,-1.07,-58.47
"Farid, Enterprising Salvager",brc,13,0.29,,0.21,,-0.08,-27.59,,
Wings of Aesthir,me2,199,,,,,,,,
Mwonvuli Beast Tracker,m13,177,0.22,0.82,0.24,0.86,0.02,9.09,0.04,4.88
Return to Dust,khc,32,0.14,,0.16,,0.02,14.29,,
Emberheart Challenger,blb,133,0.88,2.61,1.95,2.80,1.07,121.59,0.19,7.28
Royal Assassin,dmr,310,0.56,0.93,0.34,1.06,-0.22,-39.29,0.13,13.98
Shock,aer,98,0.07,0.18,0.09,0.81,0.02,28.57,0.63,350.00
Eldrazi Temple,sld,1154,48.38,46.43,44.21,66.42,-4.17,-8.62,19.99,43.05
Voyager Glidecar,pdft,36p,0.50,,0.09,0.30,-0.41,-82.00,,
Walk the Plank,xln,130,0.16,0.49,0.18,0.28,0.02,12.50,-0.21,-42.86
Sphinx's Revelation,mm3,187,1.06,1.52,0.87,0.89,-0.19,-17.92,-0.63,-41.45
Mise,unh,38,0.24,6.00,0.21,1.70,-0.03,-12.50,-4.30,-71.67
Kor Entanglers,bfz,36,0.11,0.48,0.07,0.25,-0.04,-36.36,-0.23,-47.92
Tail Swipe,j25,721,0.28,,0.32,,0.04,14.29,,
Briarbridge Patrol,sir,187,,,,,,,,
The Restoration of Eiganjo // Architect of Restoration,prm,97897,,,,,,,,
Spread the Sickness,mm2,98,0.13,0.41,0.14,0.35,0.01,7.69,-0.06,-14.63
"Izoni, Thousand-Eyed",gk1,50,,0.79,,1.15,,,0.36,45.57
Oracle of the Alpha,ydmu,4,,,,,,,,
"Alesha, Who Laughs at Fate",fdn,476,3.08,3.62,2.18,2.96,-0.90,-29.22,-0.66,-18.23
Duelist's Heritage,c16,1,1.82,,1.35,,-0.47,-25.82,,
"Lazav, Dimir Mastermind",znc,92,0.65,,0.55,,-0.10,-15.38,,
Celestial Kirin,sok,3,0.65,12.84,0.58,6.65,-0.07,-10.77,-6.19,-48.21
Courage in Crisis,plst,WAR-158,0.20,,,,,,,
Green Sun's Twilight,pone,169p,0.28,0.39,0.22,0.43,-0.06,-21.43,0.04,10.26
Talisman of Curiosity,m3c,309,0.34,,0.31,2.54,-0.03,-8.82,,
"Snapdax, Apex of the Hunt",piko,209p,0.69,1.05,1.25,1.98,0.56,81.16,0.93,88.57
Ornithopter,5ed,393,0.58,,0.43,,-0.15,-25.86,,
"Kamahl, Pit Fighter",p15a,2,,0.89,,1.18,,,0.29,32.58
Saheeli's Directive,pz2,70675,,,,,,,,
"Armaggon, Future Shark",tmt,264,1.26,1.52,1.39,1.88,0.13,10.32,0.36,23.68
Festering Goblin,9ed,130,0.11,,0.07,,-0.04,-36.36,,
Reality Smasher,sld,1153,10.29,9.58,6.04,8.29,-4.25,-41.30,-1.29,-13.47
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",lci,188,5.99,7.13,3.89,4.36,-2.10,-35.06,-2.77,-38.85
Orzhov Advokist,c16,3,0.20,,0.19,,-0.01,-5.00,,
Initiate's Companion,akh,174,0.09,0.34,0.11,0.26,0.02,22.22,-0.08,-23.53
Tsabo's Assassin,inv,128,0.54,7.86,0.48,8.09,-0.06,-11.11,0.23,2.93
Mana Clash,9ed,203★,,14.33,,,,,,
Darksteel Splicer,moc,100,2.13,,1.48,,-0.65,-30.52,,
"Hogaak, Arisen Necropolis",mh1,202,1.17,7.86,1.35,11.27,0.18,15.38,3.41,43.38
Survival of the Fittest,wc98,bs129,57.28,,67.73,,10.45,18.24,,
