name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.24,0.73,0.25,0.43,0.01,4.17,-0.30,-41.10
Fury Sliver,tsp,157,0.44,3.79,0.17,1.30,-0.27,-61.36,-2.49,-65.70
Kor Outfitter,zen,21,0.10,1.86,0.14,2.31,0.04,40.00,0.45,24.19
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.04,0.21,0.04,0.19,0.00,0.00,-0.02,-9.52
Web,3ed,229,0.81,,0.76,,-0.05,-6.17,,
Wastewood Verge,pdft,268p,6.36,7.13,7.13,6.99,0.77,12.11,-0.14,-1.96
Surge of Brilliance,who,57,0.24,4.84,0.21,0.65,-0.03,-12.50,-4.19,-86.57
Obyra's Attendants // Desperate Parry,woe,63,0.04,0.13,0.02,0.11,-0.02,-50.00,-0.02,-15.38
Venerable Knight,eld,35,0.15,0.33,0.11,0.26,-0.04,-26.67,-0.07,-21.21
Wildcall,ugin,146,1.98,,7.02,,5.04,254.55,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.11,,0.11,,0.00,0.00,,
Swamp,jmp,59,0.23,,0.41,,0.18,78.26,,
Swamp,tmp,340,0.48,,0.52,,0.04,8.33,,
Battlewing Mystic,dmu,43,0.07,0.07,0.08,0.08,0.01,14.29,0.01,14.29
Birds of Paradise,sld,176,12.01,11.90,10.29,10.93,-1.72,-14.32,-0.97,-8.15
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.13,1.55,-0.04,-23.53,1.05,210.00
Admiral Beckett Brass,plst,XLN-217,0.35,,0.30,,-0.05,-14.29,,
Ragged Playmate,dsk,150,0.03,0.14,0.09,0.09,0.06,200.00,-0.05,-35.71
Mulch,c15,191,0.54,,0.24,,-0.30,-55.56,,
Whiptongue Hydra,c18,36,0.92,,0.98,,0.06,6.52,,
Wall of Roots,f08,7,,5.00,,2.10,,,-2.90,-58.00
Pugnacious Hammerskull,plci,208p,0.39,0.71,0.47,0.73,0.08,20.51,0.02,2.82
War Historian,mom,214,0.02,0.03,0.02,0.03,0.00,0.00,0.00,0.00
Searing Blaze,plst,WWK-90,0.83,,,,,,,
