name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.23,0.55,0.21,0.36,-0.02,-8.70,-0.19,-34.55
Fury Sliver,tsp,157,0.42,3.72,0.17,1.41,-0.25,-59.52,-2.31,-62.10
Kor Outfitter,zen,21,0.10,1.93,0.26,2.30,0.16,160.00,0.37,19.17
Spirit,tmm2,5,0.08,,,,,,,
Siren Lookout,xln,78,0.09,0.21,0.03,0.19,-0.06,-66.67,-0.02,-9.52
Web,3ed,229,0.81,,0.83,,0.02,2.47,,
Wastewood Verge,pdft,268p,6.29,7.13,6.91,7.02,0.62,9.86,-0.11,-1.54
Surge of Brilliance,who,57,0.23,4.84,0.21,0.44,-0.02,-8.70,-4.40,-90.91
Obyra's Attendants // Desperate Parry,woe,63,0.04,0.13,0.05,0.13,0.01,25.00,0.00,0.00
Venerable Knight,eld,35,0.13,0.31,0.15,0.26,0.02,15.38,-0.05,-16.13
Wildcall,ugin,146,1.54,,7.02,,5.48,355.84,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.20,,,,,,,
Mystic Skyfish,m21,326,0.11,,0.11,,0.00,0.00,,
Swamp,jmp,59,0.22,,0.45,,0.23,104.55,,
Swamp,tmp,340,0.46,,0.50,,0.04,8.70,,
Battlewing Mystic,dmu,43,0.08,0.07,0.04,0.07,-0.04,-50.00,0.00,0.00
Birds of Paradise,sld,176,11.93,11.90,10.72,10.14,-1.21,-10.14,-1.76,-14.79
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.13,1.55,-0.04,-23.53,1.05,210.00
Admiral Beckett Brass,plst,XLN-217,0.36,,0.30,,-0.06,-16.67,,
Ragged Playmate,dsk,150,0.04,0.14,0.12,0.19,0.08,200.00,0.05,35.71
Mulch,c15,191,0.16,,0.17,,0.01,6.25,,
Whiptongue Hydra,c18,36,1.02,,0.57,,-0.45,-44.12,,
Wall of Roots,f08,7,,4.96,,2.20,,,-2.76,-55.65
Pugnacious Hammerskull,plci,208p,0.41,0.90,0.47,0.76,0.06,14.63,-0.14,-15.56
War Historian,mom,214,0.02,0.02,0.02,0.03,0.00,0.00,0.01,50.00
Searing Blaze,plst,WWK-90,0.77,,,,,,,
Siren's Call,ced,78,2.18,,0.63,,-1.55,-71.10,,
Mystical Tutor,dmr,421,12.19,16.99,9.65,13.18,-2.54,-20.84,-3.81,-22.42
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.16,0.50,0.21,0.37,0.05,31.25,-0.13,-26.00
Selvala's Enforcer,cns,40,0.17,,0.11,0.32,-0.06,-35.29,,
Coalstoke Gearhulk,pdft,198s,,1.43,,1.57,,,0.14,9.79
Fresh Meat,nph,109,0.24,0.98,0.19,1.23,-0.05,-20.83,0.25,25.51
Orzhov Guildgate,gtc,244,0.06,0.60,0.16,0.71,0.10,166.67,0.11,18.33
Mortify,ltc,269,0.17,,0.18,,0.01,5.88,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.85,20.04,15.83,18.82,-3.02,-16.02,-1.22,-6.09
Paradise Druid,woc,129,0.19,,0.20,,0.01,5.26,,
Run Away Together,woc,108,0.12,,0.06,,-0.06,-50.00,,
Sinew Sliver,tsr,44,0.36,1.91,0.22,0.95,-0.14,-38.89,-0.96,-50.26
Charge,dom,10,0.05,0.44,0.10,0.21,0.05,100.00,-0.23,-52.27
Island,eld,255,0.12,0.14,0.04,0.20,-0.08,-66.67,0.06,42.86
Novice Knight,m19,30,0.10,0.47,0.13,0.41,0.03,30.00,-0.06,-12.77
Fallen Askari,vis,59,0.16,,0.13,,-0.03,-18.75,,
Altar's Reap,plst,DDR-37,0.15,,0.13,,-0.02,-13.33,,
"Lavinia, Azorius Renegade",rvr,370,0.35,0.45,0.54,0.84,0.19,54.29,0.39,86.67
"Odric, Master Tactician",c20,96,0.27,,0.31,,0.04,14.81,,
Afflict,ody,115,0.08,0.42,0.02,0.34,-0.06,-75.00,-0.08,-19.05
Crown of Gondor,ltc,75,0.20,,0.33,,0.13,65.00,,
Invisible Stalker,isd,60,0.58,9.30,0.82,4.69,0.24,41.38,-4.61,-49.57
"Dakkon, Shadow Slayer",mh2,192,0.45,1.12,0.51,1.76,0.06,13.33,0.64,57.14
Shahrazad,arn,10,453.33,,327.94,,-125.39,-27.66,,
Destructive Tampering,aer,78,0.02,0.20,0.02,0.15,0.00,0.00,-0.05,-25.00
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.22,,0.21,,-0.01,-4.55,,
Nocturnal Raid,mir,132,0.23,,0.28,,0.05,21.74,,
Temporal Manipulation,sld,1169,16.37,16.58,16.15,16.20,-0.22,-1.34,-0.38,-2.29
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.14,0.29,0.13,0.34,-0.01,-7.14,0.05,17.24
Vaevictis Asmadi,bchr,89,,,,,,,,
Flensermite,mbs,41,0.22,1.14,0.29,1.34,0.07,31.82,0.20,17.54
Triskelion,plst,M11-218,,0.44,,0.28,,,-0.16,-36.36
Rite of the Raging Storm,ncc,274,3.73,,0.38,,-3.35,-89.81,,
Lonely Sandbar,sld,2161,,,,,,,,
"Gorion, Wise Mentor",clb,276,0.08,0.14,0.09,0.24,0.01,12.50,0.10,71.43
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.16,0.30,0.08,0.18,-0.08,-50.00,-0.12,-40.00
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.31,0.58,0.21,1.06,-0.10,-32.26,0.48,82.76
Island,fbb,297,4.60,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.94,10.73,1.01,8.82,0.07,7.45,-1.91,-17.80
Rogue Kavu,9ed,213★,,0.22,,,,,,
Ornery Tumblewagg,otj,171,0.15,0.31,0.38,0.59,0.23,153.33,0.28,90.32
Harbinger of the Seas,mh3,63,2.03,2.35,3.60,5.72,1.57,77.34,3.37,143.40
Mad Auntie,mma,90,0.43,1.17,0.53,0.94,0.10,23.26,-0.23,-19.66
Coral Eel,9ed,S3,0.16,,0.58,,0.42,262.50,,
Midnight Clock,m3c,189,0.33,,0.26,0.82,-0.07,-21.21,,
Invasion of Tolvada // The Broken Sky,mom,241,0.26,0.35,0.26,0.29,0.00,0.00,-0.06,-17.14
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.30,,0.41,,0.11,36.67,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.33,,0.51,,0.18,54.55,,
Eumidian Hatchery,eoc,40,2.14,,,,,,,
"Lazav, Familiar Stranger",otj,216,0.07,0.10,0.04,0.22,-0.03,-42.86,0.12,120.00
Plains,cma,292,0.23,,0.07,,-0.16,-69.57,,
Plains,brb,128,0.87,,1.68,,0.81,93.10,,
"Edric, Spymaster of Trest",cns,187,1.27,8.83,1.06,5.67,-0.21,-16.54,-3.16,-35.79
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,,,,,,,
Bubbling Beebles,uds,29,0.13,5.80,0.09,3.49,-0.04,-30.77,-2.31,-39.83
Second Breakfast,ltr,29,0.05,0.13,0.05,0.23,0.00,0.00,0.10,76.92
"Ulasht, the Hate Seed",2x2,289,0.15,0.28,0.19,0.52,0.04,26.67,0.24,85.71
Unholy Strength,7ed,168,0.10,,0.09,,-0.01,-10.00,,
Forest,wc02,rl349,1.99,,,,,,,
Consecrate // Consume,rna,224,0.10,0.12,0.11,0.46,0.01,10.00,0.34,283.33
Thornwood Falls,ema,246,0.08,0.30,0.06,0.31,-0.02,-25.00,0.01,3.33
Goblin Bowling Team,ugl,44,0.32,,0.26,,-0.06,-18.75,,
Elvish Aberration,pal03,7,,1.95,,0.82,,,-1.13,-57.95
"Farid, Enterprising Salvager",brc,13,0.12,,0.23,,0.11,91.67,,
Wings of Aesthir,me2,199,,,,,,,,
Mwonvuli Beast Tracker,m13,177,0.24,1.19,0.17,0.85,-0.07,-29.17,-0.34,-28.57
Return to Dust,khc,32,0.09,,0.15,,0.06,66.67,,
Emberheart Challenger,blb,133,1.79,2.11,2.79,3.61,1.00,55.87,1.50,71.09
Royal Assassin,dmr,310,0.45,0.63,0.50,1.06,0.05,11.11,0.43,68.25
Shock,aer,98,0.08,0.19,0.15,0.92,0.07,87.50,0.73,384.21
Eldrazi Temple,sld,1154,62.37,67.17,51.15,69.29,-11.22,-17.99,2.12,3.16
Voyager Glidecar,pdft,36p,0.39,0.36,0.09,0.30,-0.30,-76.92,-0.06,-16.67
Walk the Plank,xln,130,0.13,0.52,0.24,0.31,0.11,84.62,-0.21,-40.38
Sphinx's Revelation,mm3,187,1.22,1.55,0.64,0.87,-0.58,-47.54,-0.68,-43.87
Mise,unh,38,0.26,9.46,0.16,1.66,-0.10,-38.46,-7.80,-82.45
Kor Entanglers,bfz,36,0.16,0.48,0.13,0.06,-0.03,-18.75,-0.42,-87.50
Tail Swipe,j25,721,0.29,,0.27,,-0.02,-6.90,,
Briarbridge Patrol,sir,187,,,,,,,,
The Restoration of Eiganjo // Architect of Restoration,prm,97897,,,,,,,,
Spread the Sickness,mm2,98,0.16,0.48,0.29,0.31,0.13,81.25,-0.17,-35.42
"Izoni, Thousand-Eyed",gk1,50,,0.82,,0.85,,,0.03,3.66
Oracle of the Alpha,ydmu,4,,,,,,,,
"Alesha, Who Laughs at Fate",fdn,476,2.69,3.02,2.08,2.94,-0.61,-22.68,-0.08,-2.65
Duelist's Heritage,c16,1,1.66,,1.07,,-0.59,-35.54,,
"Lazav, Dimir Mastermind",znc,92,0.67,,0.67,,0.00,0.00,,
Celestial Kirin,sok,3,0.76,11.82,0.64,8.54,-0.12,-15.79,-3.28,-27.75
Courage in Crisis,plst,WAR-158,0.17,,,,,,,
Green Sun's Twilight,pone,169p,0.27,0.28,0.15,0.49,-0.12,-44.44,0.21,75.00
Talisman of Curiosity,m3c,309,0.26,,0.32,2.54,0.06,23.08,,
"Snapdax, Apex of the Hunt",piko,209p,0.69,0.75,1.25,2.04,0.56,81.16,1.29,172.00
Ornithopter,5ed,393,0.56,,0.37,,-0.19,-33.93,,
"Kamahl, Pit Fighter",p15a,2,,0.86,,1.15,,,0.29,33.72
Saheeli's Directive,pz2,70675,,,,,,,,
Festering Goblin,9ed,130,0.11,,0.06,,-0.05,-45.45,,
Reality Smasher,sld,1153,11.40,9.91,8.04,8.87,-3.36,-29.47,-1.04,-10.49
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",lci,188,3.39,4.82,3.61,3.74,0.22,6.49,-1.08,-22.41
Orzhov Advokist,c16,3,0.16,,0.22,,0.06,37.50,,
Initiate's Companion,akh,174,0.05,0.47,0.05,0.22,0.00,0.00,-0.25,-53.19
Tsabo's Assassin,inv,128,0.48,7.90,0.48,9.11,0.00,0.00,1.21,15.32
Mana Clash,9ed,203★,,14.33,,,,,,
Darksteel Splicer,moc,100,1.57,,,,,,,
"Hogaak, Arisen Necropolis",mh1,202,1.17,7.55,1.17,10.79,0.00,0.00,3.24,42.91
Survival of the Fittest,wc98,bs129,51.29,,60.74,,9.45,18.42,,
Keen-Eyed Curator,blb,322,2.19,3.07,1.96,4.61,-0.23,-10.50,1.54,50.16
Jasmine Boreal,tsb,93,0.45,7.32,0.19,1.99,-0.26,-57.78,-5.33,-72.81
Bone Dragon,pm19,88s,,2.88,,2.73,,,-0.15,-5.21
Psychic Venom,5ed,113,0.14,,0.10,,-0.04,-28.57,,
Birthing Ritual,mh3,337,7.58,15.50,7.74,11.91,0.16,2.11,-3.59,-23.16
Sokka's Haiku,tla,71,0.14,0.18,0.09,0.21,-0.05,-35.71,0.03,16.67
A-Falcon Abomination,mid,A-52,,,,,,,,
Fire Elemental,4bb,191,7.20,,1.34,,-5.86,-81.39,,
Grizzly Fate,vma,215,,,,,,,,
Swamp,30a,289,0.92,,,,,,,
Ancient Spring,inv,319,0.16,4.69,0.20,4.76,0.04,25.00,0.07,1.49
Spirit,tfic,3,,,,,,,,
Howlgeist,j22,673,0.08,,0.12,,0.04,50.00,,
Sengir Vampire,anb,60,,,,,,,,
Farewell,neo,436,8.14,12.49,8.09,18.19,-0.05,-0.61,5.70,45.64
Digsite Engineer,c21,342,1.34,,0.84,,-0.50,-37.31,,
