name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.25,0.77,0.25,0.53,0.00,0.00,-0.24,-31.17
Fury Sliver,tsp,157,0.48,3.79,0.22,1.34,-0.26,-54.17,-2.45,-64.64
Kor Outfitter,zen,21,0.11,1.77,0.16,2.28,0.05,45.45,0.51,28.81
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.03,0.21,0.04,0.19,0.01,33.33,-0.02,-9.52
Web,3ed,229,0.89,,0.89,,0.00,0.00,,
Wastewood Verge,pdft,268p,6.58,7.20,6.97,7.06,0.39,5.93,-0.14,-1.94
Surge of Brilliance,who,57,0.11,4.84,0.25,0.60,0.14,127.27,-4.24,-87.60
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.11,0.12,0.13,0.03,33.33,0.02,18.18
Venerable Knight,eld,35,0.11,0.34,0.12,0.23,0.01,9.09,-0.11,-32.35
Wildcall,ugin,146,1.98,,6.68,,4.70,237.37,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.11,,0.12,,0.01,9.09,,
Swamp,jmp,59,0.21,,0.27,,0.06,28.57,,
Swamp,tmp,340,0.49,,0.42,,-0.07,-14.29,,
Battlewing Mystic,dmu,43,0.07,0.06,0.04,0.08,-0.03,-42.86,0.02,33.33
Birds of Paradise,sld,176,12.47,12.41,10.32,12.16,-2.15,-17.24,-0.25,-2.01
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.13,1.64,-0.04,-23.53,1.14,228.00
Admiral Beckett Brass,plst,XLN-217,0.37,,0.53,,0.16,43.24,,
Ragged Playmate,dsk,150,0.04,0.15,0.06,0.18,0.02,50.00,0.03,20.00
Mulch,c15,191,0.40,,0.26,,-0.14,-35.00,,
Whiptongue Hydra,c18,36,1.12,,0.93,,-0.19,-16.96,,
Wall of Roots,f08,7,,5.04,,2.35,,,-2.69,-53.37
