name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.24,0.68,0.24,0.50,0.00,0.00,-0.18,-26.47
Fury Sliver,tsp,157,0.48,3.79,0.21,1.34,-0.27,-56.25,-2.45,-64.64
Kor Outfitter,zen,21,0.10,1.77,0.14,2.29,0.04,40.00,0.52,29.38
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.03,0.21,0.04,0.23,0.01,33.33,0.02,9.52
Web,3ed,229,0.89,,0.83,,-0.06,-6.74,,
Wastewood Verge,pdft,268p,6.73,7.31,6.97,7.06,0.24,3.57,-0.25,-3.42
Surge of Brilliance,who,57,0.12,4.84,0.24,0.60,0.12,100.00,-4.24,-87.60
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.10,0.12,0.13,0.03,33.33,0.03,30.00
Venerable Knight,eld,35,0.11,0.34,0.10,0.23,-0.01,-9.09,-0.11,-32.35
Wildcall,ugin,146,1.98,,6.68,,4.70,237.37,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.11,,0.12,,0.01,9.09,,
Swamp,jmp,59,0.21,,0.19,,-0.02,-9.52,,
Swamp,tmp,340,0.48,,0.50,,0.02,4.17,,
Battlewing Mystic,dmu,43,0.07,0.06,0.08,0.08,0.01,14.29,0.02,33.33
Birds of Paradise,sld,176,12.63,12.29,10.20,11.75,-2.43,-19.24,-0.54,-4.39
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.89,0.14,1.64,-0.03,-17.65,0.75,84.27
Admiral Beckett Brass,plst,XLN-217,0.37,,0.53,,0.16,43.24,,
Ragged Playmate,dsk,150,0.04,0.15,0.08,0.18,0.04,100.00,0.03,20.00
Mulch,c15,191,0.40,,0.26,,-0.14,-35.00,,
Whiptongue Hydra,c18,36,1.12,,0.84,,-0.28,-25.00,,
Wall of Roots,f08,7,,5.04,,2.64,,,-2.40,-47.62
Pugnacious Hammerskull,plci,208p,0.39,0.88,0.50,0.73,0.11,28.21,-0.15,-17.05
War Historian,mom,214,0.02,0.02,0.02,0.05,0.00,0.00,0.03,150.00
Searing Blaze,plst,WWK-90,0.50,,,,,,,
Siren's Call,ced,78,2.19,,0.63,,-1.56,-71.23,,
Mystical Tutor,dmr,421,12.61,17.35,9.90,12.71,-2.71,-21.49,-4.64,-26.74
Essence Warden,prm,95481,,,,,,,,
