name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.24,0.73,0.25,0.45,0.01,4.17,-0.28,-38.36
Fury Sliver,tsp,157,0.44,3.79,0.17,1.30,-0.27,-61.36,-2.49,-65.70
Kor Outfitter,zen,21,0.10,1.86,0.16,2.30,0.06,60.00,0.44,23.66
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.04,0.21,0.05,0.19,0.01,25.00,-0.02,-9.52
Web,3ed,229,0.81,,0.83,,0.02,2.47,,
Wastewood Verge,pdft,268p,6.36,7.13,7.19,6.99,0.83,13.05,-0.14,-1.96
Surge of Brilliance,who,57,0.22,4.84,0.23,0.65,0.01,4.55,-4.19,-86.57
Obyra's Attendants // Desperate Parry,woe,63,0.05,0.13,0.02,0.11,-0.03,-60.00,-0.02,-15.38
Venerable Knight,eld,35,0.12,0.32,0.12,0.25,0.00,0.00,-0.07,-21.88
Wildcall,ugin,146,1.98,,7.02,,5.04,254.55,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.11,,0.11,,0.00,0.00,,
Swamp,jmp,59,0.22,,0.41,,0.19,86.36,,
Swamp,tmp,340,0.48,,0.45,,-0.03,-6.25,,
Battlewing Mystic,dmu,43,0.07,0.07,0.08,0.07,0.01,14.29,0.00,0.00
Birds of Paradise,sld,176,12.01,11.90,10.29,10.36,-1.72,-14.32,-1.54,-12.94
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.13,1.55,-0.04,-23.53,1.05,210.00
Admiral Beckett Brass,plst,XLN-217,0.36,,0.30,,-0.06,-16.67,,
Ragged Playmate,dsk,150,0.04,0.16,0.09,0.10,0.05,125.00,-0.06,-37.50
Mulch,c15,191,0.54,,0.24,,-0.30,-55.56,,
Whiptongue Hydra,c18,36,0.93,,0.98,,0.05,5.38,,
Wall of Roots,f08,7,,5.00,,2.21,,,-2.79,-55.80
Pugnacious Hammerskull,plci,208p,0.39,0.71,0.47,0.73,0.08,20.51,0.02,2.82
War Historian,mom,214,0.02,0.03,0.02,0.03,0.00,0.00,0.00,0.00
Searing Blaze,plst,WWK-90,0.83,,,,,,,
Siren's Call,ced,78,2.18,,0.63,,-1.55,-71.10,,
Mystical Tutor,dmr,421,12.33,16.85,9.81,13.45,-2.52,-20.44,-3.40,-20.18
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.18,0.47,0.16,0.37,-0.02,-11.11,-0.10,-21.28
Selvala's Enforcer,cns,40,0.17,,0.11,0.32,-0.06,-35.29,,
Coalstoke Gearhulk,pdft,198s,,1.37,,1.57,,,0.20,14.60
Fresh Meat,nph,109,0.25,0.95,0.11,1.52,-0.14,-56.00,0.57,60.00
Orzhov Guildgate,gtc,244,0.08,0.62,0.15,0.71,0.07,87.50,0.09,14.52
Mortify,ltc,269,0.21,,0.18,,-0.03,-14.29,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.95,20.07,16.03,18.60,-2.92,-15.41,-1.47,-7.32
Paradise Druid,woc,129,0.18,,0.23,,0.05,27.78,,
Run Away Together,woc,108,0.12,,0.06,,-0.06,-50.00,,
Sinew Sliver,tsr,44,0.39,2.01,0.29,0.94,-0.10,-25.64,-1.07,-53.23
Charge,dom,10,0.05,0.41,0.12,0.20,0.07,140.00,-0.21,-51.22
Island,eld,255,0.11,0.13,0.04,0.20,-0.07,-63.64,0.07,53.85
Novice Knight,m19,30,0.07,0.47,0.11,0.35,0.04,57.14,-0.12,-25.53
Fallen Askari,vis,59,0.16,,0.07,,-0.09,-56.25,,
Altar's Reap,plst,DDR-37,0.15,,0.11,,-0.04,-26.67,,
"Lavinia, Azorius Renegade",rvr,370,0.34,0.45,0.74,0.93,0.40,117.65,0.48,106.67
"Odric, Master Tactician",c20,96,0.27,,0.37,,0.10,37.04,,
Afflict,ody,115,0.08,0.80,0.07,0.34,-0.01,-12.50,-0.46,-57.50
Crown of Gondor,ltc,75,0.27,,0.45,,0.18,66.67,,
Invisible Stalker,isd,60,0.57,9.30,1.06,4.69,0.49,85.96,-4.61,-49.57
"Dakkon, Shadow Slayer",mh2,192,0.68,1.08,0.46,1.72,-0.22,-32.35,0.64,59.26
Shahrazad,arn,10,453.33,,327.87,,-125.46,-27.68,,
Destructive Tampering,aer,78,0.02,0.20,0.02,0.15,0.00,0.00,-0.05,-25.00
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.22,,0.35,,0.13,59.09,,
Nocturnal Raid,mir,132,0.22,,0.25,,0.03,13.64,,
Temporal Manipulation,sld,1169,16.52,16.82,15.72,16.50,-0.80,-4.84,-0.32,-1.90
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.20,0.30,0.17,0.33,-0.03,-15.00,0.03,10.00
Vaevictis Asmadi,bchr,89,,,,,,,,
Flensermite,mbs,41,0.24,1.14,0.30,1.34,0.06,25.00,0.20,17.54
