name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.32,0.42,0.28,0.60,-0.04,-12.50,0.18,42.86
Fury Sliver,tsp,157,0.53,2.85,0.13,1.28,-0.40,-75.47,-1.57,-55.09
Kor Outfitter,zen,21,0.18,1.73,0.33,2.01,0.15,83.33,0.28,16.18
Spirit,tmm2,5,0.09,,0.06,,-0.03,-33.33,,
Siren Lookout,xln,78,0.13,0.35,0.09,0.22,-0.04,-30.77,-0.13,-37.14
Web,3ed,229,1.05,,0.65,,-0.40,-38.10,,
Wastewood Verge,pdft,268p,8.10,8.25,7.56,7.80,-0.54,-6.67,-0.45,-5.45
Surge of Brilliance,who,57,0.35,7.15,0.22,0.66,-0.13,-37.14,-6.49,-90.77
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.09,0.06,0.17,-0.03,-33.33,0.08,88.89
Venerable Knight,eld,35,0.22,0.30,0.13,0.54,-0.09,-40.91,0.24,80.00
Wildcall,ugin,146,1.59,,6.68,,5.09,320.13,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.20,,,,,,,
Mystic Skyfish,m21,326,0.19,,0.16,,-0.03,-15.79,,
Swamp,jmp,59,0.35,,0.22,,-0.13,-37.14,,
Swamp,tmp,340,0.54,,0.45,,-0.09,-16.67,,
Battlewing Mystic,dmu,43,0.08,0.12,0.15,0.08,0.07,87.50,-0.04,-33.33
Birds of Paradise,sld,176,12.92,13.17,11.52,13.61,-1.40,-10.84,0.44,3.34
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.18,0.12,1.43,-0.06,-33.33,0.25,21.19
Admiral Beckett Brass,plst,XLN-217,0.32,,0.39,,0.07,21.88,,
Ragged Playmate,dsk,150,0.04,0.19,0.11,0.07,0.07,175.00,-0.12,-63.16
Mulch,c15,191,0.36,,0.16,,-0.20,-55.56,,
Whiptongue Hydra,c18,36,1.25,,0.51,,-0.74,-59.20,,
Wall of Roots,f08,7,,5.08,,2.49,,,-2.59,-50.98
Pugnacious Hammerskull,plci,208p,0.39,0.99,0.45,0.73,0.06,15.38,-0.26,-26.26
War Historian,mom,214,0.04,0.03,0.03,0.04,-0.01,-25.00,0.01,33.33
Searing Blaze,plst,WWK-90,0.49,,,,,,,
Siren's Call,ced,78,2.06,,0.73,,-1.33,-64.56,,
Mystical Tutor,dmr,421,16.18,21.10,10.29,15.82,-5.89,-36.40,-5.28,-25.02
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.17,0.53,0.16,0.34,-0.01,-5.88,-0.19,-35.85
Selvala's Enforcer,cns,40,0.13,0.60,0.10,0.33,-0.03,-23.08,-0.27,-45.00
Coalstoke Gearhulk,pdft,198s,,1.40,,0.79,,,-0.61,-43.57
Fresh Meat,nph,109,0.24,0.85,0.26,1.08,0.02,8.33,0.23,27.06
Orzhov Guildgate,gtc,244,0.23,0.70,0.12,0.83,-0.11,-47.83,0.13,18.57
Mortify,ltc,269,0.33,,0.17,,-0.16,-48.48,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.52,20.40,18.53,20.89,0.01,0.05,0.49,2.40
Paradise Druid,woc,129,0.25,,0.28,,0.03,12.00,,
