name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.31,0.42,0.32,0.42,0.01,3.23,0.00,0.00
Fury Sliver,tsp,157,0.53,2.74,0.14,2.63,-0.39,-73.58,-0.11,-4.01
Kor Outfitter,zen,21,0.19,1.69,0.32,1.61,0.13,68.42,-0.08,-4.73
Spirit,tmm2,5,0.09,,0.06,,-0.03,-33.33,,
Siren Lookout,xln,78,0.19,0.43,0.12,0.22,-0.07,-36.84,-0.21,-48.84
Web,3ed,229,1.05,,1.11,,0.06,5.71,,
Wastewood Verge,pdft,268p,8.66,9.45,8.61,8.10,-0.05,-0.58,-1.35,-14.29
Surge of Brilliance,who,57,0.30,7.02,0.24,0.65,-0.06,-20.00,-6.37,-90.74
Obyra's Attendants // Desperate Parry,woe,63,0.06,0.09,0.06,0.17,0.00,0.00,0.08,88.89
Venerable Knight,eld,35,0.27,0.32,0.07,0.43,-0.20,-74.07,0.11,34.37
Wildcall,ugin,146,1.59,,5.87,,4.28,269.18,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.21,,,,,,,
Mystic Skyfish,m21,326,0.21,,0.13,,-0.08,-38.10,,
Swamp,jmp,59,0.35,,0.17,,-0.18,-51.43,,
Swamp,tmp,340,0.49,,0.40,,-0.09,-18.37,,
Battlewing Mystic,dmu,43,0.09,0.18,0.10,0.08,0.01,11.11,-0.10,-55.56
Birds of Paradise,sld,176,13.62,13.60,10.99,14.07,-2.63,-19.31,0.47,3.46
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.18,0.17,1.34,-0.01,-5.56,0.16,13.56
Admiral Beckett Brass,plst,XLN-217,0.36,,0.27,,-0.09,-25.00,,
Ragged Playmate,dsk,150,0.07,0.19,0.08,0.15,0.01,14.29,-0.04,-21.05
Mulch,c15,191,0.36,,0.17,,-0.19,-52.78,,
Whiptongue Hydra,c18,36,1.28,,0.55,,-0.73,-57.03,,
Wall of Roots,f08,7,,5.10,,2.80,,,-2.30,-45.10
Pugnacious Hammerskull,plci,208p,1.40,0.88,0.45,0.73,-0.95,-67.86,-0.15,-17.05
War Historian,mom,214,0.04,0.03,0.05,0.04,0.01,25.00,0.01,33.33
Searing Blaze,plst,WWK-90,0.51,,,,,,,
Siren's Call,ced,78,2.06,,0.86,,-1.20,-58.25,,
Mystical Tutor,dmr,421,16.41,24.27,10.56,13.98,-5.85,-35.65,-10.29,-42.40
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.19,0.56,0.12,0.31,-0.07,-36.84,-0.25,-44.64
Selvala's Enforcer,cns,40,0.13,0.60,0.13,0.33,0.00,0.00,-0.27,-45.00
Coalstoke Gearhulk,pdft,198s,,1.40,,0.79,,,-0.61,-43.57
Fresh Meat,nph,109,0.26,0.83,0.20,1.09,-0.06,-23.08,0.26,31.33
Orzhov Guildgate,gtc,244,0.28,0.76,0.08,0.74,-0.20,-71.43,-0.02,-2.63
Mortify,ltc,269,0.33,,0.17,,-0.16,-48.48,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.41,20.26,18.08,20.17,-0.33,-1.79,-0.09,-0.44
Paradise Druid,woc,129,0.36,,0.28,,-0.08,-22.22,,
Run Away Together,woc,108,0.33,,0.08,,-0.25,-75.76,,
Sinew Sliver,tsr,44,0.48,2.97,0.26,1.16,-0.22,-45.83,-1.81,-60.94
Charge,dom,10,0.05,0.29,0.08,0.19,0.03,60.00,-0.10,-34.48
Island,eld,255,0.18,0.20,0.04,0.16,-0.14,-77.78,-0.04,-20.00
Novice Knight,m19,30,0.11,0.58,0.26,0.31,0.15,136.36,-0.27,-46.55
Fallen Askari,vis,59,0.12,,0.17,,0.05,41.67,,
