name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.36,0.45,0.20,0.50,-0.16,-44.44,0.05,11.11
Fury Sliver,tsp,157,0.56,2.92,0.19,1.28,-0.37,-66.07,-1.64,-56.16
Kor Outfitter,zen,21,0.18,1.77,0.15,2.01,-0.03,-16.67,0.24,13.56
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.08,0.23,0.09,0.22,0.01,12.50,-0.01,-4.35
Web,3ed,229,0.99,,0.87,,-0.12,-12.12,,
Wastewood Verge,pdft,268p,7.85,7.74,7.28,7.34,-0.57,-7.26,-0.40,-5.17
Surge of Brilliance,who,57,0.37,6.74,0.24,0.58,-0.13,-35.14,-6.16,-91.39
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.09,0.03,0.16,-0.06,-66.67,0.07,77.78
Venerable Knight,eld,35,0.21,0.30,0.16,0.45,-0.05,-23.81,0.15,50.00
Wildcall,ugin,146,1.98,,6.68,,4.70,237.37,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.20,,,,,,,
Mystic Skyfish,m21,326,0.15,,0.14,,-0.01,-6.67,,
Swamp,jmp,59,0.34,,0.23,,-0.11,-32.35,,
Swamp,tmp,340,0.54,,0.44,,-0.10,-18.52,,
Battlewing Mystic,dmu,43,0.08,0.05,0.12,0.08,0.04,50.00,0.03,60.00
Birds of Paradise,sld,176,12.88,12.81,10.94,12.83,-1.94,-15.06,0.02,0.16
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.18,0.13,1.63,-0.05,-27.78,0.45,38.14
Admiral Beckett Brass,plst,XLN-217,0.35,,0.28,,-0.07,-20.00,,
Ragged Playmate,dsk,150,0.06,0.19,0.11,0.10,0.05,83.33,-0.09,-47.37
Mulch,c15,191,0.36,,0.16,,-0.20,-55.56,,
Whiptongue Hydra,c18,36,1.12,,0.80,,-0.32,-28.57,,
Wall of Roots,f08,7,,5.07,,2.52,,,-2.55,-50.30
Pugnacious Hammerskull,plci,208p,0.39,0.99,0.43,0.73,0.04,10.26,-0.26,-26.26
War Historian,mom,214,0.03,0.02,0.04,0.04,0.01,33.33,0.02,100.00
Searing Blaze,plst,WWK-90,0.44,,,,,,,
Siren's Call,ced,78,2.13,,0.73,,-1.40,-65.73,,
Mystical Tutor,dmr,421,16.19,17.53,10.99,16.18,-5.20,-32.12,-1.35,-7.70
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.20,0.53,0.24,0.34,0.04,20.00,-0.19,-35.85
Selvala's Enforcer,cns,40,0.15,0.60,0.13,0.36,-0.02,-13.33,-0.24,-40.00
Coalstoke Gearhulk,pdft,198s,,1.33,,0.89,,,-0.44,-33.08
Fresh Meat,nph,109,0.25,0.93,0.23,1.39,-0.02,-8.00,0.46,49.46
Orzhov Guildgate,gtc,244,0.26,0.69,0.11,0.83,-0.15,-57.69,0.14,20.29
Mortify,ltc,269,0.35,,0.18,,-0.17,-48.57,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.54,20.52,18.31,20.41,-0.23,-1.24,-0.11,-0.54
Paradise Druid,woc,129,0.27,,0.20,,-0.07,-25.93,,
Run Away Together,woc,108,0.22,,0.09,,-0.13,-59.09,,
Sinew Sliver,tsr,44,0.42,2.84,0.18,1.10,-0.24,-57.14,-1.74,-61.27
Charge,dom,10,0.05,0.35,0.07,0.21,0.02,40.00,-0.14,-40.00
Island,eld,255,0.11,0.14,0.05,0.17,-0.06,-54.55,0.03,21.43
Novice Knight,m19,30,0.10,0.52,0.18,0.31,0.08,80.00,-0.21,-40.38
Fallen Askari,vis,59,0.14,,0.07,,-0.07,-50.00,,
Altar's Reap,plst,DDR-37,0.15,,0.35,,0.20,133.33,,
"Lavinia, Azorius Renegade",rvr,370,0.37,0.39,0.66,1.53,0.29,78.38,1.14,292.31
"Odric, Master Tactician",c20,96,0.36,,0.29,,-0.07,-19.44,,
Afflict,ody,115,0.06,0.55,0.07,0.54,0.01,16.67,-0.01,-1.82
Crown of Gondor,ltc,75,0.38,,0.37,,-0.01,-2.63,,
Invisible Stalker,isd,60,1.07,10.42,1.06,2.02,-0.01,-0.93,-8.40,-80.61
"Dakkon, Shadow Slayer",mh2,192,0.66,1.41,0.56,1.34,-0.10,-15.15,-0.07,-4.96
Shahrazad,arn,10,455.33,,315.83,,-139.50,-30.64,,
Destructive Tampering,aer,78,0.02,0.23,0.06,0.16,0.04,200.00,-0.07,-30.43
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.31,,0.24,,-0.07,-22.58,,
Nocturnal Raid,mir,132,0.20,,0.13,,-0.07,-35.00,,
Temporal Manipulation,sld,1169,16.82,17.13,14.78,15.29,-2.04,-12.13,-1.84,-10.74
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.27,0.31,0.20,0.37,-0.07,-25.93,0.06,19.35
Vaevictis Asmadi,bchr,89,,,,,,,,
Flensermite,mbs,41,0.21,1.18,0.33,1.48,0.12,57.14,0.30,25.42
Triskelion,plst,M11-218,,0.50,,0.28,,,-0.22,-44.00
Rite of the Raging Storm,ncc,274,1.38,,0.25,,-1.13,-81.88,,
Lonely Sandbar,sld,2161,0.87,,0.26,,-0.61,-70.11,,
"Gorion, Wise Mentor",clb,276,0.20,0.19,0.15,0.30,-0.05,-25.00,0.11,57.89
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.17,0.06,0.10,0.18,-0.07,-41.18,0.12,200.00
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.34,0.69,0.21,0.74,-0.13,-38.24,0.05,7.25
Island,fbb,297,4.40,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.77,6.63,1.31,6.84,0.54,70.13,0.21,3.17
Rogue Kavu,9ed,213★,,0.21,,,,,,
Ornery Tumblewagg,otj,171,0.31,0.35,0.24,0.48,-0.07,-22.58,0.13,37.14
Harbinger of the Seas,mh3,63,1.89,2.66,3.65,5.49,1.76,93.12,2.83,106.39
Mad Auntie,mma,90,0.66,0.88,0.58,1.29,-0.08,-12.12,0.41,46.59
Coral Eel,9ed,S3,0.16,,0.58,,0.42,262.50,,
Midnight Clock,m3c,189,0.34,,0.23,0.82,-0.11,-32.35,,
Invasion of Tolvada // The Broken Sky,mom,241,0.26,0.38,0.29,0.49,0.03,11.54,0.11,28.95
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.22,,0.34,,0.12,54.55,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.31,,0.51,,0.20,64.52,,
Eumidian Hatchery,eoc,40,0.72,,1.69,,0.97,134.72,,
"Lazav, Familiar Stranger",otj,216,0.14,0.24,0.14,0.18,0.00,0.00,-0.06,-25.00
Plains,cma,292,0.25,,0.15,,-0.10,-40.00,,
Plains,brb,128,0.80,,1.59,,0.79,98.75,,
"Edric, Spymaster of Trest",cns,187,2.93,9.17,1.10,5.68,-1.83,-62.46,-3.49,-38.06
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,0.47,,,,,,
Bubbling Beebles,uds,29,0.15,7.28,0.14,3.54,-0.01,-6.67,-3.74,-51.37
Second Breakfast,ltr,29,0.18,0.17,0.04,0.08,-0.14,-77.78,-0.09,-52.94
"Ulasht, the Hate Seed",2x2,289,0.20,0.33,0.14,0.50,-0.06,-30.00,0.17,51.52
Unholy Strength,7ed,168,0.11,,0.15,,0.04,36.36,,
Forest,wc02,rl349,1.99,,,,,,,
Consecrate // Consume,rna,224,0.13,0.21,0.16,0.55,0.03,23.08,0.34,161.90
Thornwood Falls,ema,246,0.10,0.32,0.05,0.26,-0.05,-50.00,-0.06,-18.75
Goblin Bowling Team,ugl,44,0.32,,0.26,,-0.06,-18.75,,
Improvised Arsenal,tmt,92,0.52,0.91,0.50,0.56,-0.02,-3.85,-0.35,-38.46
Elvish Aberration,pal03,7,,1.79,,0.78,,,-1.01,-56.42
"Farid, Enterprising Salvager",brc,13,0.32,,0.20,,-0.12,-37.50,,
Wings of Aesthir,me2,199,,,,,,,,
Mwonvuli Beast Tracker,m13,177,0.21,0.82,0.21,0.89,0.00,0.00,0.07,8.54
Return to Dust,khc,32,0.14,,0.14,,0.00,0.00,,
Emberheart Challenger,blb,133,0.85,2.12,2.13,3.15,1.28,150.59,1.03,48.58
Royal Assassin,dmr,310,0.46,0.92,0.48,1.00,0.02,4.35,0.08,8.70
Shock,aer,98,0.12,0.18,0.11,0.70,-0.01,-8.33,0.52,288.89
Eldrazi Temple,sld,1154,48.19,46.52,44.21,66.42,-3.98,-8.26,19.90,42.78
Voyager Glidecar,pdft,36p,0.40,,0.16,0.30,-0.24,-60.00,,
Walk the Plank,xln,130,0.17,0.50,0.16,0.44,-0.01,-5.88,-0.06,-12.00
Heated Argument,sos,118,,,,,,,,
Sphinx's Revelation,mm3,187,1.15,1.52,0.91,0.89,-0.24,-20.87,-0.63,-41.45
Mise,unh,38,0.24,6.00,0.23,1.70,-0.01,-4.17,-4.30,-71.67
Kor Entanglers,bfz,36,0.10,0.48,0.10,0.26,0.00,0.00,-0.22,-45.83
Tail Swipe,j25,721,0.28,,0.27,,-0.01,-3.57,,
Briarbridge Patrol,sir,187,,,,,,,,
The Restoration of Eiganjo // Architect of Restoration,prm,97897,,,,,,,,
Spread the Sickness,mm2,98,0.12,0.41,0.14,0.35,0.02,16.67,-0.06,-14.63
"Izoni, Thousand-Eyed",gk1,50,,0.79,,1.08,,,0.29,36.71
Oracle of the Alpha,ydmu,4,,,,,,,,
