name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.34,0.43,0.23,0.49,-0.11,-32.35,0.06,13.95
Fury Sliver,tsp,157,0.57,2.85,0.21,1.28,-0.36,-63.16,-1.57,-55.09
Kor Outfitter,zen,21,0.18,1.77,0.15,2.01,-0.03,-16.67,0.24,13.56
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.08,0.23,0.08,0.22,0.00,0.00,-0.01,-4.35
Web,3ed,229,0.99,,0.82,,-0.17,-17.17,,
Wastewood Verge,pdft,268p,7.85,7.74,7.31,7.71,-0.54,-6.88,-0.03,-0.39
Surge of Brilliance,who,57,0.34,6.83,0.22,0.66,-0.12,-35.29,-6.17,-90.34
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.10,0.04,0.16,-0.05,-55.56,0.06,60.00
Venerable Knight,eld,35,0.22,0.30,0.18,0.45,-0.04,-18.18,0.15,50.00
Wildcall,ugin,146,1.59,,6.68,,5.09,320.13,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.20,,,,,,,
Mystic Skyfish,m21,326,0.16,,0.14,,-0.02,-12.50,,
Swamp,jmp,59,0.34,,0.23,,-0.11,-32.35,,
Swamp,tmp,340,0.54,,0.40,,-0.14,-25.93,,
Battlewing Mystic,dmu,43,0.08,0.05,0.10,0.08,0.02,25.00,0.03,60.00
Birds of Paradise,sld,176,12.86,12.81,10.93,13.10,-1.93,-15.01,0.29,2.26
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.18,0.13,1.54,-0.05,-27.78,0.36,30.51
Admiral Beckett Brass,plst,XLN-217,0.35,,0.28,,-0.07,-20.00,,
Ragged Playmate,dsk,150,0.05,0.18,0.14,0.07,0.09,180.00,-0.11,-61.11
Mulch,c15,191,0.36,,0.16,,-0.20,-55.56,,
Whiptongue Hydra,c18,36,1.09,,0.81,,-0.28,-25.69,,
Wall of Roots,f08,7,,5.07,,2.52,,,-2.55,-50.30
Pugnacious Hammerskull,plci,208p,0.39,0.99,0.43,0.73,0.04,10.26,-0.26,-26.26
War Historian,mom,214,0.03,0.02,0.04,0.04,0.01,33.33,0.02,100.00
Searing Blaze,plst,WWK-90,0.45,,,,,,,
Siren's Call,ced,78,2.10,,0.73,,-1.37,-65.24,,
