name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.24,0.86,0.22,0.47,-0.02,-8.33,-0.39,-45.35
Fury Sliver,tsp,157,0.46,3.79,0.24,1.34,-0.22,-47.83,-2.45,-64.64
Kor Outfitter,zen,21,0.11,1.77,0.17,2.31,0.06,54.55,0.54,30.51
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.03,0.21,0.05,0.19,0.02,66.67,-0.02,-9.52
Web,3ed,229,0.88,,0.81,,-0.07,-7.95,,
Wastewood Verge,pdft,268p,6.48,7.16,7.13,7.06,0.65,10.03,-0.10,-1.40
Surge of Brilliance,who,57,0.15,4.84,0.22,0.65,0.07,46.67,-4.19,-86.57
Obyra's Attendants // Desperate Parry,woe,63,0.08,0.13,0.04,0.14,-0.04,-50.00,0.01,7.69
Venerable Knight,eld,35,0.17,0.33,0.11,0.25,-0.06,-35.29,-0.08,-24.24
Wildcall,ugin,146,1.98,,7.02,,5.04,254.55,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.10,,0.12,,0.02,20.00,,
Swamp,jmp,59,0.22,,0.35,,0.13,59.09,,
Swamp,tmp,340,0.50,,0.35,,-0.15,-30.00,,
Battlewing Mystic,dmu,43,0.07,0.07,0.07,0.08,0.00,0.00,0.01,14.29
Birds of Paradise,sld,176,12.02,12.04,9.69,11.45,-2.33,-19.38,-0.59,-4.90
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.13,1.55,-0.04,-23.53,1.05,210.00
Admiral Beckett Brass,plst,XLN-217,0.35,,0.31,,-0.04,-11.43,,
Ragged Playmate,dsk,150,0.08,0.15,0.09,0.10,0.01,12.50,-0.05,-33.33
Mulch,c15,191,0.35,,0.24,,-0.11,-31.43,,
Whiptongue Hydra,c18,36,0.98,,1.12,,0.14,14.29,,
Wall of Roots,f08,7,,4.73,,2.27,,,-2.46,-52.01
Pugnacious Hammerskull,plci,208p,0.39,0.78,0.47,0.73,0.08,20.51,-0.05,-6.41
War Historian,mom,214,0.02,0.02,0.02,0.04,0.00,0.00,0.02,100.00
Searing Blaze,plst,WWK-90,0.59,,,,,,,
Siren's Call,ced,78,2.18,,0.63,,-1.55,-71.10,,
Mystical Tutor,dmr,421,12.81,17.17,9.65,13.23,-3.16,-24.67,-3.94,-22.95
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.20,0.47,0.10,0.33,-0.10,-50.00,-0.14,-29.79
Selvala's Enforcer,cns,40,0.18,0.60,0.11,0.32,-0.07,-38.89,-0.28,-46.67
Coalstoke Gearhulk,pdft,198s,,1.37,,1.57,,,0.20,14.60
Fresh Meat,nph,109,0.25,0.95,0.17,1.39,-0.08,-32.00,0.44,46.32
Orzhov Guildgate,gtc,244,0.11,0.68,0.25,0.71,0.14,127.27,0.03,4.41
Mortify,ltc,269,0.19,,0.15,,-0.04,-21.05,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.94,20.18,16.15,18.22,-2.79,-14.73,-1.96,-9.71
Paradise Druid,woc,129,0.17,,0.21,,0.04,23.53,,
Run Away Together,woc,108,0.12,,0.08,,-0.04,-33.33,,
Sinew Sliver,tsr,44,0.35,2.01,0.20,0.88,-0.15,-42.86,-1.13,-56.22
Charge,dom,10,0.04,0.34,0.05,0.20,0.01,25.00,-0.14,-41.18
Island,eld,255,0.11,0.13,0.03,0.18,-0.08,-72.73,0.05,38.46
Novice Knight,m19,30,0.07,0.53,0.09,0.35,0.02,28.57,-0.18,-33.96
Fallen Askari,vis,59,0.16,,0.12,,-0.04,-25.00,,
Altar's Reap,plst,DDR-37,0.13,,0.14,,0.01,7.69,,
"Lavinia, Azorius Renegade",rvr,370,0.33,0.37,0.64,0.84,0.31,93.94,0.47,127.03
"Odric, Master Tactician",c20,96,0.30,,0.26,,-0.04,-13.33,,
Afflict,ody,115,0.06,0.55,0.10,0.40,0.04,66.67,-0.15,-27.27
Crown of Gondor,ltc,75,0.30,,0.36,,0.06,20.00,,
Invisible Stalker,isd,60,0.66,9.53,1.01,4.69,0.35,53.03,-4.84,-50.79
"Dakkon, Shadow Slayer",mh2,192,0.65,1.24,0.78,1.85,0.13,20.00,0.61,49.19
