name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.34,0.41,0.36,0.46,0.02,5.88,0.05,12.20
Fury Sliver,tsp,157,0.53,2.94,0.20,1.26,-0.33,-62.26,-1.68,-57.14
Kor Outfitter,zen,21,0.19,1.69,0.26,1.91,0.07,36.84,0.22,13.02
Spirit,tmm2,5,0.09,,0.06,,-0.03,-33.33,,
Siren Lookout,xln,78,0.19,0.35,0.13,0.22,-0.06,-31.58,-0.13,-37.14
Web,3ed,229,1.10,,0.98,,-0.12,-10.91,,
Wastewood Verge,pdft,268p,8.66,9.23,8.35,8.06,-0.31,-3.58,-1.17,-12.68
Surge of Brilliance,who,57,0.63,6.62,0.22,0.62,-0.41,-65.08,-6.00,-90.63
Obyra's Attendants // Desperate Parry,woe,63,0.06,0.09,0.05,0.17,-0.01,-16.67,0.08,88.89
Venerable Knight,eld,35,0.24,0.32,0.10,0.43,-0.14,-58.33,0.11,34.37
Wildcall,ugin,146,1.59,,6.56,,4.97,312.58,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.21,,,,,,,
Mystic Skyfish,m21,326,0.20,,0.13,,-0.07,-35.00,,
Swamp,jmp,59,0.35,,0.19,,-0.16,-45.71,,
Swamp,tmp,340,0.50,,0.44,,-0.06,-12.00,,
Battlewing Mystic,dmu,43,0.08,0.16,0.11,0.09,0.03,37.50,-0.07,-43.75
Birds of Paradise,sld,176,13.28,13.60,11.37,13.98,-1.91,-14.38,0.38,2.79
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.18,0.17,1.38,-0.01,-5.56,0.20,16.95
Admiral Beckett Brass,plst,XLN-217,0.34,,0.27,,-0.07,-20.59,,
Ragged Playmate,dsk,150,0.06,0.18,0.07,0.09,0.01,16.67,-0.09,-50.00
Mulch,c15,191,0.36,,0.17,,-0.19,-52.78,,
Whiptongue Hydra,c18,36,1.30,,0.44,,-0.86,-66.15,,
Wall of Roots,f08,7,,5.10,,2.67,,,-2.43,-47.65
Pugnacious Hammerskull,plci,208p,1.40,0.88,0.45,0.73,-0.95,-67.86,-0.15,-17.05
War Historian,mom,214,0.04,0.03,0.05,0.04,0.01,25.00,0.01,33.33
Searing Blaze,plst,WWK-90,0.48,,,,,,,
Siren's Call,ced,78,2.06,,0.86,,-1.20,-58.25,,
Mystical Tutor,dmr,421,17.51,22.96,10.54,13.97,-6.97,-39.81,-8.99,-39.16
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.19,0.56,0.11,0.33,-0.08,-42.11,-0.23,-41.07
Selvala's Enforcer,cns,40,0.12,0.60,0.12,0.33,0.00,0.00,-0.27,-45.00
Coalstoke Gearhulk,pdft,198s,,1.40,,0.79,,,-0.61,-43.57
Fresh Meat,nph,109,0.26,0.85,0.19,1.15,-0.07,-26.92,0.30,35.29
Orzhov Guildgate,gtc,244,0.29,0.76,0.08,0.74,-0.21,-72.41,-0.02,-2.63
Mortify,ltc,269,0.31,,0.18,,-0.13,-41.94,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.45,20.31,17.94,20.17,-0.51,-2.76,-0.14,-0.69
Paradise Druid,woc,129,0.35,,0.29,,-0.06,-17.14,,
Run Away Together,woc,108,0.33,,0.08,,-0.25,-75.76,,
Sinew Sliver,tsr,44,0.41,2.86,0.27,1.16,-0.14,-34.15,-1.70,-59.44
Charge,dom,10,0.05,0.30,0.07,0.19,0.02,40.00,-0.11,-36.67
Island,eld,255,0.17,0.20,0.04,0.16,-0.13,-76.47,-0.04,-20.00
Novice Knight,m19,30,0.11,0.58,0.20,0.31,0.09,81.82,-0.27,-46.55
Fallen Askari,vis,59,0.12,,0.16,,0.04,33.33,,
Altar's Reap,plst,DDR-37,0.16,,0.32,,0.16,100.00,,
"Lavinia, Azorius Renegade",rvr,370,0.36,0.38,0.59,1.29,0.23,63.89,0.91,239.47
"Odric, Master Tactician",c20,96,0.45,,0.34,,-0.11,-24.44,,
Afflict,ody,115,0.10,0.55,0.08,0.51,-0.02,-20.00,-0.04,-7.27
Crown of Gondor,ltc,75,0.36,,0.36,,0.00,0.00,,
Invisible Stalker,isd,60,0.84,10.73,0.86,3.11,0.02,2.38,-7.62,-71.02
"Dakkon, Shadow Slayer",mh2,192,0.65,1.65,0.55,1.06,-0.10,-15.38,-0.59,-35.76
Shahrazad,arn,10,455.33,,332.09,,-123.24,-27.07,,
Destructive Tampering,aer,78,0.05,0.26,0.04,0.16,-0.01,-20.00,-0.10,-38.46
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.28,,0.23,,-0.05,-17.86,,
Nocturnal Raid,mir,132,0.21,,0.16,,-0.05,-23.81,,
Temporal Manipulation,sld,1169,16.84,16.87,13.91,14.93,-2.93,-17.40,-1.94,-11.50
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.27,0.36,0.25,0.28,-0.02,-7.41,-0.08,-22.22
Vaevictis Asmadi,bchr,89,,,2.21,,,,,
Flensermite,mbs,41,0.24,1.35,0.29,1.42,0.05,20.83,0.07,5.19
Triskelion,plst,M11-218,,0.69,,0.41,,,-0.28,-40.58
Rite of the Raging Storm,ncc,274,1.09,,0.41,,-0.68,-62.39,,
Lonely Sandbar,sld,2161,0.51,,0.50,,-0.01,-1.96,,
"Gorion, Wise Mentor",clb,276,0.19,0.22,0.13,0.31,-0.06,-31.58,0.09,40.91
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.15,0.48,0.08,0.18,-0.07,-46.67,-0.30,-62.50
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.29,0.55,0.34,0.54,0.05,17.24,-0.01,-1.82
Island,fbb,297,6.67,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.63,5.63,1.21,6.78,0.58,92.06,1.15,20.43
Rogue Kavu,9ed,213★,,0.21,,,,,,
Ornery Tumblewagg,otj,171,0.30,0.40,0.24,0.46,-0.06,-20.00,0.06,15.00
Harbinger of the Seas,mh3,63,1.39,2.44,3.14,4.55,1.75,125.90,2.11,86.48
Mad Auntie,mma,90,0.76,0.90,0.57,1.01,-0.19,-25.00,0.11,12.22
Coral Eel,9ed,S3,0.16,,0.50,,0.34,212.50,,
Midnight Clock,m3c,189,0.39,,0.23,0.82,-0.16,-41.03,,
Invasion of Tolvada // The Broken Sky,mom,241,0.37,0.39,0.23,0.48,-0.14,-37.84,0.09,23.08
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.26,,0.35,,0.09,34.62,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.38,,1.05,,0.67,176.32,,
Eumidian Hatchery,eoc,40,1.24,,2.29,,1.05,84.68,,
