name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.23,0.55,0.23,0.46,0.00,0.00,-0.09,-16.36
Fury Sliver,tsp,157,0.44,3.72,0.21,1.46,-0.23,-52.27,-2.26,-60.75
Kor Outfitter,zen,21,0.11,2.05,0.30,2.30,0.19,172.73,0.25,12.20
Spirit,tmm2,5,0.11,,,,,,,
Siren Lookout,xln,78,0.07,0.20,0.06,0.22,-0.01,-14.29,0.02,10.00
Web,3ed,229,0.80,,0.79,,-0.01,-1.25,,
Wastewood Verge,pdft,268p,6.21,7.07,6.58,7.02,0.37,5.96,-0.05,-0.71
Surge of Brilliance,who,57,0.21,4.70,0.33,0.46,0.12,57.14,-4.24,-90.21
Obyra's Attendants // Desperate Parry,woe,63,0.03,0.14,0.09,0.14,0.06,200.00,0.00,0.00
Venerable Knight,eld,35,0.14,0.32,0.08,0.25,-0.06,-42.86,-0.07,-21.88
Wildcall,ugin,146,1.09,,8.66,,7.57,694.50,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.20,,,,,,,
Mystic Skyfish,m21,326,0.06,,0.11,,0.05,83.33,,
Swamp,jmp,59,0.21,,0.49,,0.28,133.33,,
Swamp,tmp,340,0.46,,0.38,,-0.08,-17.39,,
Battlewing Mystic,dmu,43,0.08,0.07,0.05,0.07,-0.03,-37.50,0.00,0.00
Birds of Paradise,sld,176,11.62,11.97,10.77,9.93,-0.85,-7.31,-2.04,-17.04
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.11,1.66,-0.06,-35.29,1.16,232.00
Admiral Beckett Brass,plst,XLN-217,0.36,,0.29,,-0.07,-19.44,,
Ragged Playmate,dsk,150,0.05,0.15,0.09,0.13,0.04,80.00,-0.02,-13.33
Mulch,c15,191,0.15,,0.15,,0.00,0.00,,
Whiptongue Hydra,c18,36,0.96,,0.55,,-0.41,-42.71,,
Wall of Roots,f08,7,,4.78,,2.20,,,-2.58,-53.97
Pugnacious Hammerskull,plci,208p,0.42,0.90,0.52,0.74,0.10,23.81,-0.16,-17.78
War Historian,mom,214,0.02,0.02,0.02,0.04,0.00,0.00,0.02,100.00
Searing Blaze,plst,WWK-90,0.65,,,,,,,
Siren's Call,ced,78,2.18,,0.63,,-1.55,-71.10,,
Mystical Tutor,dmr,421,12.56,17.11,10.02,13.65,-2.54,-20.22,-3.46,-20.22
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.12,0.40,0.05,0.33,-0.07,-58.33,-0.07,-17.50
Selvala's Enforcer,cns,40,0.14,,0.13,0.32,-0.01,-7.14,,
Coalstoke Gearhulk,pdft,198s,,1.41,,1.57,,,0.16,11.35
Fresh Meat,nph,109,0.24,0.98,0.28,1.23,0.04,16.67,0.25,25.51
Orzhov Guildgate,gtc,244,0.06,0.67,0.22,0.71,0.16,266.67,0.04,5.97
Mortify,ltc,269,0.16,,0.17,,0.01,6.25,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.63,19.79,15.73,18.91,-2.90,-15.57,-0.88,-4.45
Paradise Druid,woc,129,0.18,,0.21,,0.03,16.67,,
Run Away Together,woc,108,0.13,,0.03,,-0.10,-76.92,,
Sinew Sliver,tsr,44,0.40,1.78,0.19,1.02,-0.21,-52.50,-0.76,-42.70
Charge,dom,10,0.06,0.49,0.10,0.21,0.04,66.67,-0.28,-57.14
Island,eld,255,0.11,0.14,0.05,0.21,-0.06,-54.55,0.07,50.00
Novice Knight,m19,30,0.10,0.47,0.08,0.41,-0.02,-20.00,-0.06,-12.77
Fallen Askari,vis,59,0.16,,0.14,,-0.02,-12.50,,
Altar's Reap,plst,DDR-37,0.17,,0.11,,-0.06,-35.29,,
"Lavinia, Azorius Renegade",rvr,370,0.38,0.42,0.32,1.08,-0.06,-15.79,0.66,157.14
"Odric, Master Tactician",c20,96,0.28,,0.30,,0.02,7.14,,
Afflict,ody,115,0.10,0.42,0.03,0.32,-0.07,-70.00,-0.10,-23.81
Crown of Gondor,ltc,75,0.20,,0.35,,0.15,75.00,,
Invisible Stalker,isd,60,0.58,9.32,1.03,5.31,0.45,77.59,-4.01,-43.03
"Dakkon, Shadow Slayer",mh2,192,0.48,1.12,0.52,2.03,0.04,8.33,0.91,81.25
Shahrazad,arn,10,455.00,,323.18,,-131.82,-28.97,,
Destructive Tampering,aer,78,0.02,0.20,0.02,0.15,0.00,0.00,-0.05,-25.00
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.22,,0.17,,-0.05,-22.73,,
Nocturnal Raid,mir,132,0.23,,0.16,,-0.07,-30.43,,
Temporal Manipulation,sld,1169,16.35,16.69,16.38,15.50,0.03,0.18,-1.19,-7.13
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.20,0.29,0.23,0.32,0.03,15.00,0.03,10.34
Vaevictis Asmadi,bchr,89,,,,,,,,
Flensermite,mbs,41,0.19,1.13,0.30,1.13,0.11,57.89,0.00,0.00
Triskelion,plst,M11-218,,0.40,,0.36,,,-0.04,-10.00
Rite of the Raging Storm,ncc,274,1.45,,0.47,,-0.98,-67.59,,
Lonely Sandbar,sld,2161,,,,,,,,
"Gorion, Wise Mentor",clb,276,0.08,0.14,0.13,0.30,0.05,62.50,0.16,114.29
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.16,0.25,0.03,0.18,-0.13,-81.25,-0.07,-28.00
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.36,0.64,0.31,0.99,-0.05,-13.89,0.35,54.69
Island,fbb,297,4.60,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.97,11.62,1.57,8.82,0.60,61.86,-2.80,-24.10
Rogue Kavu,9ed,213★,,,,,,,,
Ornery Tumblewagg,otj,171,0.17,0.32,0.29,0.54,0.12,70.59,0.22,68.75
Harbinger of the Seas,mh3,63,2.05,2.71,3.52,5.44,1.47,71.71,2.73,100.74
Mad Auntie,mma,90,0.41,1.17,0.70,0.86,0.29,70.73,-0.31,-26.50
Coral Eel,9ed,S3,0.16,,0.58,,0.42,262.50,,
Midnight Clock,m3c,189,0.33,,0.28,0.82,-0.05,-15.15,,
Invasion of Tolvada // The Broken Sky,mom,241,0.28,0.35,0.35,0.33,0.07,25.00,-0.02,-5.71
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.32,,0.31,,-0.01,-3.13,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.34,,0.37,,0.03,8.82,,
Eumidian Hatchery,eoc,40,2.01,,,,,,,
"Lazav, Familiar Stranger",otj,216,0.07,0.09,0.12,0.24,0.05,71.43,0.15,166.67
Plains,cma,292,0.23,,0.07,,-0.16,-69.57,,
Plains,brb,128,0.87,,1.68,,0.81,93.10,,
"Edric, Spymaster of Trest",cns,187,1.24,8.83,1.06,4.61,-0.18,-14.52,-4.22,-47.79
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,4.27,,,,,,
Bubbling Beebles,uds,29,0.13,5.18,0.05,3.55,-0.08,-61.54,-1.63,-31.47
Second Breakfast,ltr,29,0.05,0.12,0.06,0.16,0.01,20.00,0.04,33.33
"Ulasht, the Hate Seed",2x2,289,0.15,0.27,0.14,0.36,-0.01,-6.67,0.09,33.33
Unholy Strength,7ed,168,0.10,,0.09,,-0.01,-10.00,,
Forest,wc02,rl349,1.99,,,,,,,
Consecrate // Consume,rna,224,0.12,0.12,0.07,0.46,-0.05,-41.67,0.34,283.33
Thornwood Falls,ema,246,0.08,0.35,0.09,0.31,0.01,12.50,-0.04,-11.43
Goblin Bowling Team,ugl,44,0.31,,0.23,,-0.08,-25.81,,
Elvish Aberration,pal03,7,,1.95,,0.87,,,-1.08,-55.38
"Farid, Enterprising Salvager",brc,13,0.13,,0.24,,0.11,84.62,,
Wings of Aesthir,me2,199,,,,,,,,
Mwonvuli Beast Tracker,m13,177,0.21,1.19,0.15,0.85,-0.06,-28.57,-0.34,-28.57
Return to Dust,khc,32,0.09,,0.17,,0.08,88.89,,
Emberheart Challenger,blb,133,1.60,2.41,2.60,3.95,1.00,62.50,1.54,63.90
Royal Assassin,dmr,310,0.38,0.74,0.49,1.01,0.11,28.95,0.27,36.49
Shock,aer,98,0.07,0.19,0.08,0.92,0.01,14.29,0.73,384.21
