name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.22,0.62,0.22,0.44,0.00,0.00,-0.18,-29.03
Fury Sliver,tsp,157,0.43,3.72,0.22,1.46,-0.21,-48.84,-2.26,-60.75
Kor Outfitter,zen,21,0.13,1.54,0.07,2.29,-0.06,-46.15,0.75,48.70
Spirit,tmm2,5,0.11,,,,,,,
Siren Lookout,xln,78,0.09,0.26,0.10,0.22,0.01,11.11,-0.04,-15.38
Web,3ed,229,0.74,,0.87,,0.13,17.57,,
Wastewood Verge,pdft,268p,6.15,7.19,6.79,7.11,0.64,10.41,-0.08,-1.11
Surge of Brilliance,who,57,0.29,4.74,0.23,0.50,-0.06,-20.69,-4.24,-89.45
Obyra's Attendants // Desperate Parry,woe,63,0.03,0.13,0.13,0.17,0.10,333.33,0.04,30.77
Venerable Knight,eld,35,0.15,0.33,0.10,0.25,-0.05,-33.33,-0.08,-24.24
Wildcall,ugin,146,1.09,,1.34,,0.25,22.94,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.21,,,,,,,
Mystic Skyfish,m21,326,0.05,,0.11,,0.06,120.00,,
Swamp,jmp,59,0.24,,0.51,,0.27,112.50,,
Swamp,tmp,340,0.46,,0.40,,-0.06,-13.04,,
Battlewing Mystic,dmu,43,0.07,0.07,0.05,0.07,-0.02,-28.57,0.00,0.00
Birds of Paradise,sld,176,10.55,11.51,10.63,10.23,0.08,0.76,-1.28,-11.12
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.14,1.66,-0.03,-17.65,1.16,232.00
Admiral Beckett Brass,plst,XLN-217,0.36,,0.22,,-0.14,-38.89,,
Ragged Playmate,dsk,150,0.08,0.13,0.11,0.12,0.03,37.50,-0.01,-7.69
Mulch,c15,191,0.15,,0.16,,0.01,6.67,,
Whiptongue Hydra,c18,36,0.96,,0.61,,-0.35,-36.46,,
Wall of Roots,f08,7,,4.72,,2.34,,,-2.38,-50.42
Pugnacious Hammerskull,plci,208p,0.43,0.90,0.46,0.77,0.03,6.98,-0.13,-14.44
War Historian,mom,214,0.02,0.02,0.02,0.04,0.00,0.00,0.02,100.00
Searing Blaze,plst,WWK-90,0.31,,,,,,,
Siren's Call,ced,78,2.12,,0.63,,-1.49,-70.28,,
Mystical Tutor,dmr,421,12.52,17.58,9.53,14.94,-2.99,-23.88,-2.64,-15.02
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.14,0.40,0.14,0.18,0.00,0.00,-0.22,-55.00
Selvala's Enforcer,cns,40,0.14,,0.09,0.34,-0.05,-35.71,,
Coalstoke Gearhulk,pdft,198s,,1.42,,1.75,,,0.33,23.24
Fresh Meat,nph,109,0.25,0.98,0.27,1.23,0.02,8.00,0.25,25.51
Orzhov Guildgate,gtc,244,0.08,0.69,0.14,0.75,0.06,75.00,0.06,8.70
Mortify,ltc,269,0.15,,0.20,,0.05,33.33,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.47,19.72,15.23,20.17,-3.24,-17.54,0.45,2.28
Paradise Druid,woc,129,0.19,,0.14,,-0.05,-26.32,,
Run Away Together,woc,108,0.12,,0.08,,-0.04,-33.33,,
Sinew Sliver,tsr,44,0.35,1.79,0.17,0.99,-0.18,-51.43,-0.80,-44.69
Charge,dom,10,0.08,0.37,0.04,0.17,-0.04,-50.00,-0.20,-54.05
Island,eld,255,0.11,0.14,0.07,0.20,-0.04,-36.36,0.06,42.86
Novice Knight,m19,30,0.10,0.57,0.09,0.41,-0.01,-10.00,-0.16,-28.07
Fallen Askari,vis,59,0.16,,0.12,,-0.04,-25.00,,
Altar's Reap,plst,DDR-37,0.16,,0.11,,-0.05,-31.25,,
"Lavinia, Azorius Renegade",rvr,370,0.39,0.49,0.68,1.42,0.29,74.36,0.93,189.80
"Odric, Master Tactician",c20,96,0.27,,0.26,,-0.01,-3.70,,
Afflict,ody,115,0.11,0.43,0.06,0.34,-0.05,-45.45,-0.09,-20.93
Crown of Gondor,ltc,75,0.23,,0.51,,0.28,121.74,,
Invisible Stalker,isd,60,0.52,9.32,1.04,5.87,0.52,100.00,-3.45,-37.02
"Dakkon, Shadow Slayer",mh2,192,0.57,1.10,0.60,2.36,0.03,5.26,1.26,114.55
Shahrazad,arn,10,455.00,,320.49,,-134.51,-29.56,,
Destructive Tampering,aer,78,0.02,0.20,0.03,0.15,0.01,50.00,-0.05,-25.00
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.22,,0.29,,0.07,31.82,,
Nocturnal Raid,mir,132,0.23,,0.09,,-0.14,-60.87,,
Temporal Manipulation,sld,1169,16.24,16.93,16.15,16.03,-0.09,-0.55,-0.90,-5.32
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.15,0.24,0.23,0.31,0.08,53.33,0.07,29.17
Vaevictis Asmadi,bchr,89,,,,,,,,
Flensermite,mbs,41,0.20,1.14,0.29,1.10,0.09,45.00,-0.04,-3.51
Triskelion,plst,M11-218,,0.37,,0.37,,,0.00,0.00
Rite of the Raging Storm,ncc,274,0.42,,0.30,,-0.12,-28.57,,
Lonely Sandbar,sld,2161,,,,,,,,
"Gorion, Wise Mentor",clb,276,0.10,0.15,0.16,0.30,0.06,60.00,0.15,100.00
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.15,0.25,0.03,0.18,-0.12,-80.00,-0.07,-28.00
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.38,0.88,0.28,0.76,-0.10,-26.32,-0.12,-13.64
Island,fbb,297,4.60,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,1.11,10.92,1.53,8.98,0.42,37.84,-1.94,-17.77
Rogue Kavu,9ed,213★,,0.49,,,,,,
Ornery Tumblewagg,otj,171,1.03,0.34,0.41,0.41,-0.62,-60.19,0.07,20.59
Harbinger of the Seas,mh3,63,1.81,2.80,4.38,5.50,2.57,141.99,2.70,96.43
Mad Auntie,mma,90,0.37,1.17,0.76,0.86,0.39,105.41,-0.31,-26.50
Coral Eel,9ed,S3,0.16,,0.59,,0.43,268.75,,
Midnight Clock,m3c,189,0.28,,0.24,0.82,-0.04,-14.29,,
Invasion of Tolvada // The Broken Sky,mom,241,0.29,0.36,0.25,0.29,-0.04,-13.79,-0.07,-19.44
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.32,,0.32,,0.00,0.00,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.34,,0.54,,0.20,58.82,,
Eumidian Hatchery,eoc,40,3.64,,,,,,,
"Lazav, Familiar Stranger",otj,216,0.07,0.10,0.14,0.20,0.07,100.00,0.10,100.00
Plains,cma,292,0.23,,0.07,,-0.16,-69.57,,
Plains,brb,128,0.87,,1.68,,0.81,93.10,,
"Edric, Spymaster of Trest",cns,187,1.37,9.01,1.14,4.81,-0.23,-16.79,-4.20,-46.61
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,0.49,,,,,,
Bubbling Beebles,uds,29,0.13,6.34,0.05,2.95,-0.08,-61.54,-3.39,-53.47
Second Breakfast,ltr,29,0.08,0.14,0.03,0.16,-0.05,-62.50,0.02,14.29
"Ulasht, the Hate Seed",2x2,289,0.18,0.27,0.14,0.35,-0.04,-22.22,0.08,29.63
Unholy Strength,7ed,168,0.12,,0.11,,-0.01,-8.33,,
Forest,wc02,rl349,,,,,,,,
Consecrate // Consume,rna,224,0.14,0.12,0.12,0.46,-0.02,-14.29,0.34,283.33
Thornwood Falls,ema,246,0.08,0.25,0.05,0.29,-0.03,-37.50,0.04,16.00
Goblin Bowling Team,ugl,44,0.31,,0.14,,-0.17,-54.84,,
Elvish Aberration,pal03,7,,2.00,,0.92,,,-1.08,-54.00
"Farid, Enterprising Salvager",brc,13,0.17,,0.17,,0.00,0.00,,
Wings of Aesthir,me2,199,,,,,,,,
Mwonvuli Beast Tracker,m13,177,0.18,1.19,0.16,0.85,-0.02,-11.11,-0.34,-28.57
Return to Dust,khc,32,0.08,,0.12,,0.04,50.00,,
Emberheart Challenger,blb,133,1.72,2.42,2.90,3.27,1.18,68.60,0.85,35.12
Royal Assassin,dmr,310,0.38,0.80,0.53,0.02,0.15,39.47,-0.78,-97.50
Shock,aer,98,0.08,0.20,0.08,0.92,0.00,0.00,0.72,360.00
Eldrazi Temple,sld,1154,77.82,98.54,57.84,71.32,-19.98,-25.67,-27.22,-27.62
Voyager Glidecar,pdft,36p,0.94,0.34,0.08,0.30,-0.86,-91.49,-0.04,-11.76
Walk the Plank,xln,130,0.11,0.52,0.15,0.45,0.04,36.36,-0.07,-13.46
Sphinx's Revelation,mm3,187,1.36,1.55,0.62,0.87,-0.74,-54.41,-0.68,-43.87
Mise,unh,38,0.24,9.46,0.13,1.70,-0.11,-45.83,-7.76,-82.03
Kor Entanglers,bfz,36,0.08,0.49,0.13,0.15,0.05,62.50,-0.34,-69.39
Tail Swipe,j25,721,0.23,,0.21,,-0.02,-8.70,,
Briarbridge Patrol,sir,187,,,,,,,,
The Restoration of Eiganjo // Architect of Restoration,prm,97897,,,,,,,,
Spread the Sickness,mm2,98,0.17,0.48,0.25,0.38,0.08,47.06,-0.10,-20.83
"Izoni, Thousand-Eyed",gk1,50,,0.82,,0.69,,,-0.13,-15.85
Oracle of the Alpha,ydmu,4,,,,,,,,
"Alesha, Who Laughs at Fate",fdn,476,1.98,2.79,1.61,2.34,-0.37,-18.69,-0.45,-16.13
Duelist's Heritage,c16,1,1.61,,1.76,,0.15,9.32,,
"Lazav, Dimir Mastermind",znc,92,0.66,,0.53,,-0.13,-19.70,,
Celestial Kirin,sok,3,0.78,5.44,0.67,8.47,-0.11,-14.10,3.03,55.70
Courage in Crisis,plst,WAR-158,0.14,,,,,,,
Green Sun's Twilight,pone,169p,0.25,0.28,0.20,0.47,-0.05,-20.00,0.19,67.86
Talisman of Curiosity,m3c,309,0.19,,0.36,2.54,0.17,89.47,,
"Snapdax, Apex of the Hunt",piko,209p,0.69,0.75,1.29,2.07,0.60,86.96,1.32,176.00
Ornithopter,5ed,393,0.51,,0.36,,-0.15,-29.41,,
"Kamahl, Pit Fighter",p15a,2,,0.88,,1.18,,,0.30,34.09
Saheeli's Directive,pz2,70675,,,,,,,,
Festering Goblin,9ed,130,0.18,,0.11,,-0.07,-38.89,,
Reality Smasher,sld,1153,11.80,10.24,9.13,9.29,-2.67,-22.63,-0.95,-9.28
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",lci,188,3.98,4.78,3.74,3.97,-0.24,-6.03,-0.81,-16.95
Orzhov Advokist,c16,3,0.15,,0.16,,0.01,6.67,,
Initiate's Companion,akh,174,0.06,0.75,0.06,0.18,0.00,0.00,-0.57,-76.00
Tsabo's Assassin,inv,128,0.47,10.22,0.40,9.11,-0.07,-14.89,-1.11,-10.86
Mana Clash,9ed,203★,,14.33,,,,,,
Darksteel Splicer,moc,100,1.07,,,,,,,
"Hogaak, Arisen Necropolis",mh1,202,1.01,7.33,1.33,9.70,0.32,31.68,2.37,32.33
Survival of the Fittest,wc98,bs129,48.06,,57.75,,9.69,20.16,,
Keen-Eyed Curator,blb,322,1.75,3.05,2.66,3.61,0.91,52.00,0.56,18.36
Jasmine Boreal,tsb,93,0.47,7.32,0.20,1.99,-0.27,-57.45,-5.33,-72.81
Bone Dragon,pm19,88s,,2.77,,3.05,,,0.28,10.11
Psychic Venom,5ed,113,0.14,,0.13,,-0.01,-7.14,,
Birthing Ritual,mh3,337,6.66,11.68,6.69,10.38,0.03,0.45,-1.30,-11.13
Sokka's Haiku,tla,71,3.96,,0.86,3.49,-3.10,-78.28,,
A-Falcon Abomination,mid,A-52,,,,,,,,
Fire Elemental,4bb,191,,,1.44,,,,,
Grizzly Fate,vma,215,,,,,,,,
Swamp,30a,289,0.94,,,,,,,
Ancient Spring,inv,319,0.16,4.20,0.24,5.18,0.08,50.00,0.98,23.33
Spirit,tfic,3,,,,,,,,
Howlgeist,j22,673,0.08,,0.09,,0.01,12.50,,
Sengir Vampire,anb,60,,,,,,,,
Farewell,neo,436,7.61,12.15,8.22,18.53,0.61,8.02,6.38,52.51
Digsite Engineer,c21,342,1.44,,0.77,,-0.67,-46.53,,
Security Rhox,snc,220,0.04,0.03,0.09,0.12,0.05,125.00,0.09,300.00
Biogenic Upgrade,j25,144,0.17,,0.15,,-0.02,-11.76,,
Belbe's Armor,nem,126,0.19,2.97,0.16,2.81,-0.03,-15.79,-0.16,-5.39
Slinking Skirge,uds,71,0.14,0.90,0.09,1.16,-0.05,-35.71,0.26,28.89
Thalakos Lowlands,brb,88,0.43,,0.54,,0.11,25.58,,
Scoured Barrens,neo,274,0.08,0.20,0.12,0.08,0.04,50.00,-0.12,-60.00
"Shaile, Dean of Radiance // Embrose, Dean of Shadow",prm,90228,,,,,,,,
Spined Wurm,por,185,0.19,,0.13,,-0.06,-31.58,,
