name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.23,0.87,0.26,0.46,0.03,13.04,-0.41,-47.13
Fury Sliver,tsp,157,0.48,3.79,0.18,1.34,-0.30,-62.50,-2.45,-64.64
Kor Outfitter,zen,21,0.11,1.77,0.19,2.31,0.08,72.73,0.54,30.51
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.03,0.21,0.06,0.19,0.03,100.00,-0.02,-9.52
Web,3ed,229,0.88,,0.94,,0.06,6.82,,
Wastewood Verge,pdft,268p,6.37,7.19,7.00,7.06,0.63,9.89,-0.13,-1.81
Surge of Brilliance,who,57,0.10,4.84,0.17,0.60,0.07,70.00,-4.24,-87.60
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.12,0.09,0.15,0.00,0.00,0.03,25.00
Venerable Knight,eld,35,0.13,0.33,0.12,0.23,-0.01,-7.69,-0.10,-30.30
Wildcall,ugin,146,1.98,,7.02,,5.04,254.55,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.11,,0.12,,0.01,9.09,,
Swamp,jmp,59,0.22,,0.28,,0.06,27.27,,
Swamp,tmp,340,0.50,,0.51,,0.01,2.00,,
Battlewing Mystic,dmu,43,0.05,0.07,0.07,0.08,0.02,40.00,0.01,14.29
Birds of Paradise,sld,176,12.29,12.18,10.07,11.45,-2.22,-18.06,-0.73,-5.99
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.11,1.64,-0.06,-35.29,1.14,228.00
Admiral Beckett Brass,plst,XLN-217,0.36,,0.41,,0.05,13.89,,
Ragged Playmate,dsk,150,0.05,0.14,0.09,0.18,0.04,80.00,0.04,28.57
Mulch,c15,191,0.35,,0.24,,-0.11,-31.43,,
Whiptongue Hydra,c18,36,0.98,,1.04,,0.06,6.12,,
Wall of Roots,f08,7,,4.73,,2.35,,,-2.38,-50.32
Pugnacious Hammerskull,plci,208p,0.39,0.96,0.47,0.73,0.08,20.51,-0.23,-23.96
War Historian,mom,214,0.02,0.02,0.02,0.04,0.00,0.00,0.02,100.00
