name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.34,0.43,0.28,0.56,-0.06,-17.65,0.13,30.23
Fury Sliver,tsp,157,0.50,2.85,0.16,1.28,-0.34,-68.00,-1.57,-55.09
Kor Outfitter,zen,21,0.18,1.77,0.27,2.01,0.09,50.00,0.24,13.56
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.10,0.35,0.09,0.22,-0.01,-10.00,-0.13,-37.14
Web,3ed,229,0.98,,0.74,,-0.24,-24.49,,
Wastewood Verge,pdft,268p,7.95,8.25,7.45,7.88,-0.50,-6.29,-0.37,-4.48
Surge of Brilliance,who,57,0.36,6.92,0.22,0.66,-0.14,-38.89,-6.26,-90.46
Obyra's Attendants // Desperate Parry,woe,63,0.09,0.09,0.08,0.17,-0.01,-11.11,0.08,88.89
Venerable Knight,eld,35,0.22,0.30,0.10,0.54,-0.12,-54.55,0.24,80.00
Wildcall,ugin,146,1.59,,6.68,,5.09,320.13,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.20,,,,,,,
Mystic Skyfish,m21,326,0.17,,0.14,,-0.03,-17.65,,
Swamp,jmp,59,0.34,,0.21,,-0.13,-38.24,,
Swamp,tmp,340,0.54,,0.49,,-0.05,-9.26,,
Battlewing Mystic,dmu,43,0.08,0.08,0.15,0.08,0.07,87.50,0.00,0.00
Birds of Paradise,sld,176,12.91,13.17,11.29,13.61,-1.62,-12.55,0.44,3.34
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.18,0.12,1.54,-0.06,-33.33,0.36,30.51
Admiral Beckett Brass,plst,XLN-217,0.32,,0.30,,-0.02,-6.25,,
Ragged Playmate,dsk,150,0.05,0.19,0.12,0.10,0.07,140.00,-0.09,-47.37
Mulch,c15,191,0.36,,0.17,,-0.19,-52.78,,
Whiptongue Hydra,c18,36,1.27,,0.66,,-0.61,-48.03,,
Wall of Roots,f08,7,,5.13,,2.55,,,-2.58,-50.29
