name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.33,0.40,0.25,0.37,-0.08,-24.24,-0.03,-7.50
Fury Sliver,tsp,157,0.53,2.94,0.20,1.23,-0.33,-62.26,-1.71,-58.16
Kor Outfitter,zen,21,0.19,1.69,0.26,1.91,0.07,36.84,0.22,13.02
Spirit,tmm2,5,0.09,,0.06,,-0.03,-33.33,,
Siren Lookout,xln,78,0.18,0.35,0.13,0.22,-0.05,-27.78,-0.13,-37.14
Web,3ed,229,1.10,,0.98,,-0.12,-10.91,,
Wastewood Verge,pdft,268p,8.66,8.77,8.38,8.26,-0.28,-3.23,-0.51,-5.82
Surge of Brilliance,who,57,0.62,6.62,0.21,0.62,-0.41,-66.13,-6.00,-90.63
Obyra's Attendants // Desperate Parry,woe,63,0.08,0.09,0.05,0.17,-0.03,-37.50,0.08,88.89
Venerable Knight,eld,35,0.24,0.32,0.09,0.43,-0.15,-62.50,0.11,34.37
Wildcall,ugin,146,1.59,,6.56,,4.97,312.58,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.21,,,,,,,
Mystic Skyfish,m21,326,0.20,,0.13,,-0.07,-35.00,,
Swamp,jmp,59,0.35,,0.19,,-0.16,-45.71,,
Swamp,tmp,340,0.50,,0.30,,-0.20,-40.00,,
Battlewing Mystic,dmu,43,0.08,0.16,0.11,0.09,0.03,37.50,-0.07,-43.75
Birds of Paradise,sld,176,13.17,13.60,11.44,13.98,-1.73,-13.14,0.38,2.79
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.18,0.17,1.38,-0.01,-5.56,0.20,16.95
Admiral Beckett Brass,plst,XLN-217,0.34,,0.30,,-0.04,-11.76,,
Ragged Playmate,dsk,150,0.06,0.18,0.07,0.09,0.01,16.67,-0.09,-50.00
Mulch,c15,191,0.36,,0.17,,-0.19,-52.78,,
Whiptongue Hydra,c18,36,1.30,,0.47,,-0.83,-63.85,,
Wall of Roots,f08,7,,5.10,,2.67,,,-2.43,-47.65
Pugnacious Hammerskull,plci,208p,1.40,0.88,0.45,0.73,-0.95,-67.86,-0.15,-17.05
War Historian,mom,214,0.04,0.03,0.05,0.04,0.01,25.00,0.01,33.33
Searing Blaze,plst,WWK-90,0.47,,,,,,,
Siren's Call,ced,78,2.06,,0.86,,-1.20,-58.25,,
Mystical Tutor,dmr,421,17.14,22.70,10.54,13.84,-6.60,-38.51,-8.86,-39.03
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.20,0.56,0.10,0.33,-0.10,-50.00,-0.23,-41.07
Selvala's Enforcer,cns,40,0.12,0.60,0.12,0.33,0.00,0.00,-0.27,-45.00
Coalstoke Gearhulk,pdft,198s,,1.40,,0.79,,,-0.61,-43.57
Fresh Meat,nph,109,0.26,1.11,0.20,1.15,-0.06,-23.08,0.04,3.60
Orzhov Guildgate,gtc,244,0.29,0.76,0.10,0.74,-0.19,-65.52,-0.02,-2.63
Mortify,ltc,269,0.31,,0.18,,-0.13,-41.94,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.43,20.32,17.94,20.40,-0.49,-2.66,0.08,0.39
Paradise Druid,woc,129,0.35,,0.26,,-0.09,-25.71,,
Run Away Together,woc,108,0.33,,0.08,,-0.25,-75.76,,
Sinew Sliver,tsr,44,0.40,2.85,0.25,1.16,-0.15,-37.50,-1.69,-59.30
Charge,dom,10,0.05,0.30,0.09,0.19,0.04,80.00,-0.11,-36.67
Island,eld,255,0.17,0.13,0.04,0.16,-0.13,-76.47,0.03,23.08
Novice Knight,m19,30,0.11,0.58,0.20,0.31,0.09,81.82,-0.27,-46.55
Fallen Askari,vis,59,0.12,,0.16,,0.04,33.33,,
Altar's Reap,plst,DDR-37,0.16,,0.34,,0.18,112.50,,
"Lavinia, Azorius Renegade",rvr,370,0.35,0.38,0.44,1.25,0.09,25.71,0.87,228.95
"Odric, Master Tactician",c20,96,0.45,,0.34,,-0.11,-24.44,,
Afflict,ody,115,0.11,0.55,0.08,0.51,-0.03,-27.27,-0.04,-7.27
Crown of Gondor,ltc,75,0.35,,0.42,,0.07,20.00,,
Invisible Stalker,isd,60,0.84,10.73,0.92,3.11,0.08,9.52,-7.62,-71.02
"Dakkon, Shadow Slayer",mh2,192,0.67,1.65,0.61,1.06,-0.06,-8.96,-0.59,-35.76
Shahrazad,arn,10,455.33,,332.09,,-123.24,-27.07,,
Destructive Tampering,aer,78,0.05,0.26,0.04,0.16,-0.01,-20.00,-0.10,-38.46
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.28,,0.23,,-0.05,-17.86,,
Nocturnal Raid,mir,132,0.21,,0.16,,-0.05,-23.81,,
Temporal Manipulation,sld,1169,16.84,16.87,13.91,15.36,-2.93,-17.40,-1.51,-8.95
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.27,0.36,0.27,0.29,0.00,0.00,-0.07,-19.44
Vaevictis Asmadi,bchr,89,,,2.21,,,,,
Flensermite,mbs,41,0.24,1.35,0.25,1.42,0.01,4.17,0.07,5.19
Triskelion,plst,M11-218,,0.69,,0.41,,,-0.28,-40.58
Rite of the Raging Storm,ncc,274,1.09,,0.41,,-0.68,-62.39,,
Lonely Sandbar,sld,2161,0.51,,0.54,,0.03,5.88,,
"Gorion, Wise Mentor",clb,276,0.19,0.20,0.11,0.27,-0.08,-42.11,0.07,35.00
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.15,0.48,0.08,0.18,-0.07,-46.67,-0.30,-62.50
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.33,0.55,0.32,0.61,-0.01,-3.03,0.06,10.91
Island,fbb,297,6.67,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.63,5.63,1.21,6.72,0.58,92.06,1.09,19.36
Rogue Kavu,9ed,213★,,0.21,,,,,,
Ornery Tumblewagg,otj,171,0.29,0.40,0.22,0.46,-0.07,-24.14,0.06,15.00
Harbinger of the Seas,mh3,63,1.47,2.44,3.22,4.63,1.75,119.05,2.19,89.75
Mad Auntie,mma,90,0.76,0.90,0.62,1.01,-0.14,-18.42,0.11,12.22
Coral Eel,9ed,S3,0.16,,0.51,,0.35,218.75,,
Midnight Clock,m3c,189,0.39,,0.23,0.82,-0.16,-41.03,,
Invasion of Tolvada // The Broken Sky,mom,241,0.37,0.39,0.24,0.48,-0.13,-35.14,0.09,23.08
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.26,,0.35,,0.09,34.62,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.38,,1.06,,0.68,178.95,,
Eumidian Hatchery,eoc,40,1.30,,2.42,,1.12,86.15,,
"Lazav, Familiar Stranger",otj,216,0.18,0.34,0.20,0.16,0.02,11.11,-0.18,-52.94
Plains,cma,292,,,0.15,,,,,
Plains,brb,128,0.73,,1.55,,0.82,112.33,,
"Edric, Spymaster of Trest",cns,187,2.12,11.30,1.14,5.82,-0.98,-46.23,-5.48,-48.50
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,0.47,,,,,,
Bubbling Beebles,uds,29,0.18,7.28,0.13,3.92,-0.05,-27.78,-3.36,-46.15
Second Breakfast,ltr,29,0.12,0.19,0.04,0.18,-0.08,-66.67,-0.01,-5.26
"Ulasht, the Hate Seed",2x2,289,0.22,0.38,0.10,0.45,-0.12,-54.55,0.07,18.42
Unholy Strength,7ed,168,0.16,,0.08,,-0.08,-50.00,,
Forest,wc02,rl349,,,,,,,,
Consecrate // Consume,rna,224,0.21,0.26,0.11,0.57,-0.10,-47.62,0.31,119.23
Thornwood Falls,ema,246,0.11,0.34,0.07,0.26,-0.04,-36.36,-0.08,-23.53
Goblin Bowling Team,ugl,44,0.33,,0.34,,0.01,3.03,,
Improvised Arsenal,tmt,92,0.56,0.72,0.47,0.63,-0.09,-16.07,-0.09,-12.50
Elvish Aberration,pal03,7,,1.80,,0.80,,,-1.00,-55.56
"Farid, Enterprising Salvager",brc,13,0.28,,0.25,,-0.03,-10.71,,
Wings of Aesthir,me2,199,,,,,,,,
Mwonvuli Beast Tracker,m13,177,0.28,0.89,0.19,0.88,-0.09,-32.14,-0.01,-1.12
Return to Dust,khc,32,0.21,,0.14,,-0.07,-33.33,,
Emberheart Challenger,blb,133,0.59,1.13,1.67,2.50,1.08,183.05,1.37,121.24
Royal Assassin,dmr,310,0.44,0.98,0.49,0.88,0.05,11.36,-0.10,-10.20
Shock,aer,98,0.18,0.13,0.05,0.61,-0.13,-72.22,0.48,369.23
Eldrazi Temple,sld,1154,47.24,46.76,40.31,62.54,-6.93,-14.67,15.78,33.75
Voyager Glidecar,pdft,36p,0.40,0.34,0.16,0.30,-0.24,-60.00,-0.04,-11.76
Walk the Plank,xln,130,0.23,0.49,0.14,0.45,-0.09,-39.13,-0.04,-8.16
Heated Argument,sos,118,0.03,0.36,0.03,0.09,0.00,0.00,-0.27,-75.00
Sphinx's Revelation,mm3,187,1.22,1.58,0.61,0.89,-0.61,-50.00,-0.69,-43.67
Mise,unh,38,0.23,,0.33,1.58,0.10,43.48,,
Kor Entanglers,bfz,36,0.12,0.43,0.08,0.27,-0.04,-33.33,-0.16,-37.21
Tail Swipe,j25,721,0.27,,0.25,,-0.02,-7.41,,
Briarbridge Patrol,sir,187,,,,,,,,
The Restoration of Eiganjo // Architect of Restoration,prm,97897,,,,,,,,
Spread the Sickness,mm2,98,0.13,0.38,0.13,0.35,0.00,0.00,-0.03,-7.89
"Izoni, Thousand-Eyed",gk1,50,,0.86,,0.93,,,0.07,8.14
Oracle of the Alpha,ydmu,4,,,,,,,,
"Alesha, Who Laughs at Fate",fdn,476,2.46,3.73,2.25,2.92,-0.21,-8.54,-0.81,-21.72
Duelist's Heritage,c16,1,1.97,,1.65,,-0.32,-16.24,,
"Lazav, Dimir Mastermind",znc,92,0.76,,0.59,,-0.17,-22.37,,
Celestial Kirin,sok,3,0.87,14.59,0.53,3.87,-0.34,-39.08,-10.72,-73.47
Courage in Crisis,plst,WAR-158,0.21,,0.13,,-0.08,-38.10,,
Green Sun's Twilight,pone,169p,0.32,1.10,0.23,0.51,-0.09,-28.12,-0.59,-53.64
Talisman of Curiosity,m3c,309,0.43,,0.30,2.54,-0.13,-30.23,,
"Snapdax, Apex of the Hunt",piko,209p,0.69,1.11,1.42,2.03,0.73,105.80,0.92,82.88
Ornithopter,5ed,393,0.51,,0.44,,-0.07,-13.73,,
"Kamahl, Pit Fighter",p15a,2,,1.00,,1.16,,,0.16,16.00
Saheeli's Directive,pz2,70675,,,,,,,,
"Armaggon, Future Shark",tmt,264,1.93,2.65,1.21,1.79,-0.72,-37.31,-0.86,-32.45
Festering Goblin,9ed,130,0.13,,0.10,,-0.03,-23.08,,
Reality Smasher,sld,1153,9.14,9.16,4.10,7.46,-5.04,-55.14,-1.70,-18.56
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",lci,188,7.60,7.78,4.66,4.47,-2.94,-38.68,-3.31,-42.54
Orzhov Advokist,c16,3,0.21,,0.22,,0.01,4.76,,
Initiate's Companion,akh,174,0.18,0.33,0.04,0.36,-0.14,-77.78,0.03,9.09
Tsabo's Assassin,inv,128,0.67,7.86,0.63,7.86,-0.04,-5.97,0.00,0.00
Mana Clash,9ed,203★,,14.89,,,,,,
Darksteel Splicer,moc,100,1.88,,1.35,,-0.53,-28.19,,
"Hogaak, Arisen Necropolis",mh1,202,1.52,8.32,1.24,17.10,-0.28,-18.42,8.78,105.53
Survival of the Fittest,wc98,bs129,67.62,,92.31,,24.69,36.51,,
Keen-Eyed Curator,blb,322,1.58,3.25,2.29,4.59,0.71,44.94,1.34,41.23
Jasmine Boreal,tsb,93,0.49,8.71,0.25,4.37,-0.24,-48.98,-4.34,-49.83
Bone Dragon,pm19,88s,,3.43,,2.48,,,-0.95,-27.70
Psychic Venom,5ed,113,0.18,,0.13,,-0.05,-27.78,,
Birthing Ritual,mh3,337,7.86,15.47,9.01,13.36,1.15,14.63,-2.11,-13.64
Sokka's Haiku,tla,71,0.25,0.30,0.14,0.28,-0.11,-44.00,-0.02,-6.67
A-Falcon Abomination,mid,A-52,,,,,,,,
Fire Elemental,4bb,191,,,1.26,,,,,
Grizzly Fate,vma,215,,,,,,,,
Swamp,30a,289,8.03,,,,,,,
Ancient Spring,inv,319,0.21,4.86,0.31,4.03,0.10,47.62,-0.83,-17.08
Spirit,tfic,3,,,,,,,,
Suspend Aggression,sos,357,0.32,0.53,0.20,0.02,-0.12,-37.50,-0.51,-96.23
Howlgeist,j22,673,0.13,,0.15,,0.02,15.38,,
Sengir Vampire,anb,60,,,,,,,,
Farewell,neo,436,8.17,17.32,7.48,16.12,-0.69,-8.45,-1.20,-6.93
Digsite Engineer,c21,342,1.66,,0.88,,-0.78,-46.99,,
Security Rhox,snc,220,0.04,0.04,0.06,0.11,0.02,50.00,0.07,175.00
Biogenic Upgrade,j25,144,0.19,,0.19,,0.00,0.00,,
Belbe's Armor,nem,126,0.23,4.49,0.21,2.35,-0.02,-8.70,-2.14,-47.66
Slinking Skirge,uds,71,0.10,1.98,0.09,1.13,-0.01,-10.00,-0.85,-42.93
