name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.29,0.41,0.33,0.43,0.04,13.79,0.02,4.88
Fury Sliver,tsp,157,0.53,2.94,0.16,2.63,-0.37,-69.81,-0.31,-10.54
Kor Outfitter,zen,21,0.19,1.69,0.29,1.91,0.10,52.63,0.22,13.02
Spirit,tmm2,5,0.09,,0.06,,-0.03,-33.33,,
Siren Lookout,xln,78,0.19,0.35,0.12,0.22,-0.07,-36.84,-0.13,-37.14
Web,3ed,229,1.07,,0.98,,-0.09,-8.41,,
Wastewood Verge,pdft,268p,8.66,9.45,8.35,8.10,-0.31,-3.58,-1.35,-14.29
Surge of Brilliance,who,57,0.30,7.02,0.23,0.65,-0.07,-23.33,-6.37,-90.74
Obyra's Attendants // Desperate Parry,woe,63,0.06,0.09,0.07,0.17,0.01,16.67,0.08,88.89
Venerable Knight,eld,35,0.24,0.31,0.09,0.43,-0.15,-62.50,0.12,38.71
Wildcall,ugin,146,1.59,,5.87,,4.28,269.18,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.21,,,,,,,
Mystic Skyfish,m21,326,0.20,,0.13,,-0.07,-35.00,,
Swamp,jmp,59,0.35,,0.19,,-0.16,-45.71,,
Swamp,tmp,340,0.50,,0.40,,-0.10,-20.00,,
Battlewing Mystic,dmu,43,0.08,0.16,0.11,0.09,0.03,37.50,-0.07,-43.75
Birds of Paradise,sld,176,13.28,13.60,10.95,13.88,-2.33,-17.55,0.28,2.06
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.18,0.17,1.38,-0.01,-5.56,0.20,16.95
Admiral Beckett Brass,plst,XLN-217,0.34,,0.27,,-0.07,-20.59,,
Ragged Playmate,dsk,150,0.07,0.19,0.07,0.14,0.00,0.00,-0.05,-26.32
Mulch,c15,191,0.36,,0.17,,-0.19,-52.78,,
Whiptongue Hydra,c18,36,1.30,,0.41,,-0.89,-68.46,,
Wall of Roots,f08,7,,5.10,,2.64,,,-2.46,-48.24
Pugnacious Hammerskull,plci,208p,1.40,0.88,0.45,0.73,-0.95,-67.86,-0.15,-17.05
War Historian,mom,214,0.04,0.03,0.05,0.04,0.01,25.00,0.01,33.33
Searing Blaze,plst,WWK-90,0.49,,,,,,,
Siren's Call,ced,78,2.06,,0.86,,-1.20,-58.25,,
Mystical Tutor,dmr,421,16.63,23.21,10.20,13.98,-6.43,-38.67,-9.23,-39.77
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.18,0.56,0.14,0.33,-0.04,-22.22,-0.23,-41.07
Selvala's Enforcer,cns,40,0.13,0.60,0.13,0.33,0.00,0.00,-0.27,-45.00
Coalstoke Gearhulk,pdft,198s,,1.40,,0.79,,,-0.61,-43.57
Fresh Meat,nph,109,0.26,0.85,0.16,1.11,-0.10,-38.46,0.26,30.59
Orzhov Guildgate,gtc,244,0.29,0.76,0.07,0.74,-0.22,-75.86,-0.02,-2.63
Mortify,ltc,269,0.32,,0.17,,-0.15,-46.88,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.45,20.29,18.09,20.17,-0.36,-1.95,-0.12,-0.59
Paradise Druid,woc,129,0.36,,0.31,,-0.05,-13.89,,
Run Away Together,woc,108,0.33,,0.08,,-0.25,-75.76,,
Sinew Sliver,tsr,44,0.43,2.97,0.23,1.16,-0.20,-46.51,-1.81,-60.94
Charge,dom,10,0.05,0.30,0.08,0.18,0.03,60.00,-0.12,-40.00
Island,eld,255,0.17,0.20,0.04,0.16,-0.13,-76.47,-0.04,-20.00
Novice Knight,m19,30,0.11,0.58,0.31,0.31,0.20,181.82,-0.27,-46.55
Fallen Askari,vis,59,0.12,,0.18,,0.06,50.00,,
Altar's Reap,plst,DDR-37,0.16,,0.32,,0.16,100.00,,
"Lavinia, Azorius Renegade",rvr,370,0.36,0.38,0.56,1.30,0.20,55.56,0.92,242.11
"Odric, Master Tactician",c20,96,0.44,,0.35,,-0.09,-20.45,,
Afflict,ody,115,0.11,0.55,0.08,0.48,-0.03,-27.27,-0.07,-12.73
Crown of Gondor,ltc,75,0.35,,0.35,,0.00,0.00,,
Invisible Stalker,isd,60,0.91,10.73,0.91,3.11,0.00,0.00,-7.62,-71.02
"Dakkon, Shadow Slayer",mh2,192,0.62,1.65,0.51,1.07,-0.11,-17.74,-0.58,-35.15
Shahrazad,arn,10,455.33,,332.09,,-123.24,-27.07,,
Destructive Tampering,aer,78,0.05,0.31,0.04,0.16,-0.01,-20.00,-0.15,-48.39
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.28,,0.20,,-0.08,-28.57,,
Nocturnal Raid,mir,132,0.21,,0.16,,-0.05,-23.81,,
Temporal Manipulation,sld,1169,16.84,16.73,13.91,14.64,-2.93,-17.40,-2.09,-12.49
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.27,0.36,0.21,0.24,-0.06,-22.22,-0.12,-33.33
Vaevictis Asmadi,bchr,89,,,2.21,,,,,
Flensermite,mbs,41,0.24,1.38,0.25,1.42,0.01,4.17,0.04,2.90
Triskelion,plst,M11-218,,0.69,,0.41,,,-0.28,-40.58
Rite of the Raging Storm,ncc,274,1.09,,0.35,,-0.74,-67.89,,
Lonely Sandbar,sld,2161,0.50,,0.46,,-0.04,-8.00,,
"Gorion, Wise Mentor",clb,276,0.18,0.22,0.13,0.29,-0.05,-27.78,0.07,31.82
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.15,0.48,0.08,0.18,-0.07,-46.67,-0.30,-62.50
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.31,0.51,0.31,0.77,0.00,0.00,0.26,50.98
Island,fbb,297,6.67,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.63,5.63,0.99,6.54,0.36,57.14,0.91,16.16
Rogue Kavu,9ed,213★,,0.21,,,,,,
Ornery Tumblewagg,otj,171,0.32,0.40,0.23,0.44,-0.09,-28.12,0.04,10.00
Harbinger of the Seas,mh3,63,1.55,2.36,3.12,4.56,1.57,101.29,2.20,93.22
Mad Auntie,mma,90,0.78,0.90,0.58,1.01,-0.20,-25.64,0.11,12.22
Coral Eel,9ed,S3,0.08,,0.50,,0.42,525.00,,
Midnight Clock,m3c,189,0.40,,0.24,0.82,-0.16,-40.00,,
