name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.31,0.51,0.30,0.59,-0.01,-3.23,0.08,15.69
Fury Sliver,tsp,157,0.56,3.79,0.25,1.45,-0.31,-55.36,-2.34,-61.74
Kor Outfitter,zen,21,0.14,1.77,0.13,2.29,-0.01,-7.14,0.52,29.38
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.05,0.23,0.04,0.22,-0.01,-20.00,-0.01,-4.35
Web,3ed,229,0.88,,0.76,,-0.12,-13.64,,
Wastewood Verge,pdft,268p,7.60,7.72,7.11,7.05,-0.49,-6.45,-0.67,-8.68
Surge of Brilliance,who,57,0.30,4.84,0.20,0.60,-0.10,-33.33,-4.24,-87.60
Obyra's Attendants // Desperate Parry,woe,63,0.10,0.09,0.14,0.16,0.04,40.00,0.07,77.78
Venerable Knight,eld,35,0.08,0.34,0.09,0.23,0.01,12.50,-0.11,-32.35
Wildcall,ugin,146,1.98,,6.68,,4.70,237.37,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.19,,,,,,,
Mystic Skyfish,m21,326,0.13,,0.12,,-0.01,-7.69,,
Swamp,jmp,59,0.25,,0.18,,-0.07,-28.00,,
Swamp,tmp,340,0.47,,0.33,,-0.14,-29.79,,
Battlewing Mystic,dmu,43,0.06,0.06,0.09,0.08,0.03,50.00,0.02,33.33
Birds of Paradise,sld,176,12.67,12.42,10.08,11.86,-2.59,-20.44,-0.56,-4.51
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.89,0.17,1.64,0.00,0.00,0.75,84.27
Admiral Beckett Brass,plst,XLN-217,0.35,,0.49,,0.14,40.00,,
Ragged Playmate,dsk,150,0.10,0.15,0.06,0.17,-0.04,-40.00,0.02,13.33
Mulch,c15,191,0.37,,0.26,,-0.11,-29.73,,
Whiptongue Hydra,c18,36,1.16,,0.60,,-0.56,-48.28,,
Wall of Roots,f08,7,,5.04,,2.67,,,-2.37,-47.02
Pugnacious Hammerskull,plci,208p,0.39,0.99,0.46,0.73,0.07,17.95,-0.26,-26.26
War Historian,mom,214,0.03,0.02,0.02,0.05,-0.01,-33.33,0.03,150.00
Searing Blaze,plst,WWK-90,0.48,,,,,,,
Siren's Call,ced,78,2.19,,0.58,,-1.61,-73.52,,
Mystical Tutor,dmr,421,13.06,17.66,10.65,12.69,-2.41,-18.45,-4.97,-28.14
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.22,0.50,0.22,0.34,0.00,0.00,-0.16,-32.00
Selvala's Enforcer,cns,40,0.17,0.60,0.09,0.32,-0.08,-47.06,-0.28,-46.67
Coalstoke Gearhulk,pdft,198s,,1.47,,0.97,,,-0.50,-34.01
Fresh Meat,nph,109,0.24,0.95,0.21,1.39,-0.03,-12.50,0.44,46.32
Orzhov Guildgate,gtc,244,0.15,0.67,0.07,0.76,-0.08,-53.33,0.09,13.43
Mortify,ltc,269,0.29,,0.18,,-0.11,-37.93,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.95,20.25,17.09,19.86,-1.86,-9.82,-0.39,-1.93
Paradise Druid,woc,129,0.23,,0.15,,-0.08,-34.78,,
Run Away Together,woc,108,0.10,,0.13,,0.03,30.00,,
Sinew Sliver,tsr,44,0.36,2.41,0.18,0.90,-0.18,-50.00,-1.51,-62.66
Charge,dom,10,0.04,0.26,0.08,0.18,0.04,100.00,-0.08,-30.77
Island,eld,255,0.09,0.14,0.04,0.13,-0.05,-55.56,-0.01,-7.14
Novice Knight,m19,30,0.09,0.61,0.09,0.35,0.00,0.00,-0.26,-42.62
Fallen Askari,vis,59,0.15,,0.11,,-0.04,-26.67,,
Altar's Reap,plst,DDR-37,0.16,,0.15,,-0.01,-6.25,,
"Lavinia, Azorius Renegade",rvr,370,0.34,0.36,0.58,1.00,0.24,70.59,0.64,177.78
"Odric, Master Tactician",c20,96,0.43,,0.22,,-0.21,-48.84,,
Afflict,ody,115,0.06,0.55,0.07,0.49,0.01,16.67,-0.06,-10.91
Crown of Gondor,ltc,75,0.33,,0.49,,0.16,48.48,,
Invisible Stalker,isd,60,0.91,10.32,1.08,3.36,0.17,18.68,-6.96,-67.44
"Dakkon, Shadow Slayer",mh2,192,0.52,1.30,0.50,1.55,-0.02,-3.85,0.25,19.23
Shahrazad,arn,10,452.50,,330.80,,-121.70,-26.90,,
Destructive Tampering,aer,78,0.02,0.22,0.06,0.16,0.04,200.00,-0.06,-27.27
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.28,,0.30,,0.02,7.14,,
Nocturnal Raid,mir,132,0.22,,0.11,,-0.11,-50.00,,
Temporal Manipulation,sld,1169,16.83,17.01,15.65,15.64,-1.18,-7.01,-1.37,-8.05
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.23,0.30,0.25,0.35,0.02,8.70,0.05,16.67
Vaevictis Asmadi,bchr,89,,,,,,,,
Flensermite,mbs,41,0.22,1.11,0.26,1.53,0.04,18.18,0.42,37.84
Triskelion,plst,M11-218,,0.44,,0.22,,,-0.22,-50.00
Rite of the Raging Storm,ncc,274,2.42,,0.51,,-1.91,-78.93,,
Lonely Sandbar,sld,2161,,,,,,,,
"Gorion, Wise Mentor",clb,276,0.13,0.13,0.13,0.24,0.00,0.00,0.11,84.62
Wolf,tvow,11,,,,,,,,
Gate Smasher,dtk,239,0.16,0.28,0.09,0.18,-0.07,-43.75,-0.10,-35.71
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",fin,272,0.31,0.52,0.26,0.58,-0.05,-16.13,0.06,11.54
Island,fbb,297,4.40,,,,,,,
Kemba's Outfitter,yone,2,,,,,,,,
World Breaker,ogw,126,0.88,8.18,1.37,8.27,0.49,55.68,0.09,1.10
Rogue Kavu,9ed,213★,,0.21,,,,,,
Ornery Tumblewagg,otj,171,0.26,0.29,0.28,0.32,0.02,7.69,0.03,10.34
Harbinger of the Seas,mh3,63,1.98,2.80,3.68,5.29,1.70,85.86,2.49,88.93
Mad Auntie,mma,90,0.46,1.01,0.88,1.19,0.42,91.30,0.18,17.82
Coral Eel,9ed,S3,0.16,,0.58,,0.42,262.50,,
Midnight Clock,m3c,189,0.41,,0.21,0.82,-0.20,-48.78,,
Invasion of Tolvada // The Broken Sky,mom,241,0.26,0.38,0.50,0.37,0.24,92.31,-0.01,-2.63
The Great Juggernaut,unk,RR04b,,,,,,,,
Lurking Nightstalker,p02,77,0.24,,0.32,,0.08,33.33,,
Spark Spray,vma,188,,,,,,,,
Remand,ddm,26,0.30,,0.69,,0.39,130.00,,
Eumidian Hatchery,eoc,40,1.04,,2.39,,1.35,129.81,,
"Lazav, Familiar Stranger",otj,216,0.09,0.18,0.12,0.10,0.03,33.33,-0.08,-44.44
Plains,cma,292,0.25,,0.14,,-0.11,-44.00,,
Plains,brb,128,0.87,,1.59,,0.72,82.76,,
"Edric, Spymaster of Trest",cns,187,1.49,8.38,0.85,5.36,-0.64,-42.95,-3.02,-36.04
Clearwater Pathway // Clearwater Pathway,aznr,25,,,,,,,,
Crossbow Infantry,9ed,12★,,1.05,,,,,,
Bubbling Beebles,uds,29,0.14,6.61,0.09,3.73,-0.05,-35.71,-2.88,-43.57
Second Breakfast,ltr,29,0.09,0.17,0.06,0.05,-0.03,-33.33,-0.12,-70.59
