name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.27,0.41,0.17,0.49,-0.10,-37.04,0.08,19.51
Fury Sliver,tsp,157,0.55,3.79,0.17,1.28,-0.38,-69.09,-2.51,-66.23
Kor Outfitter,zen,21,0.16,1.77,0.11,2.29,-0.05,-31.25,0.52,29.38
Spirit,tmm2,5,0.09,,,,,,,
Siren Lookout,xln,78,0.07,0.23,0.10,0.22,0.03,42.86,-0.01,-4.35
Web,3ed,229,0.97,,0.87,,-0.10,-10.31,,
Wastewood Verge,pdft,268p,7.82,7.74,7.28,7.31,-0.54,-6.91,-0.43,-5.56
Surge of Brilliance,who,57,0.31,5.76,0.23,0.58,-0.08,-25.81,-5.18,-89.93
Obyra's Attendants // Desperate Parry,woe,63,0.08,0.09,0.05,0.16,-0.03,-37.50,0.07,77.78
Venerable Knight,eld,35,0.15,0.32,0.17,0.39,0.02,13.33,0.07,21.88
Wildcall,ugin,146,1.52,,6.68,,5.16,339.47,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.20,,,,,,,
Mystic Skyfish,m21,326,0.16,,0.14,,-0.02,-12.50,,
Swamp,jmp,59,0.31,,0.32,,0.01,3.23,,
Swamp,tmp,340,0.56,,0.39,,-0.17,-30.36,,
Battlewing Mystic,dmu,43,0.08,0.04,0.08,0.08,0.00,0.00,0.04,100.00
Birds of Paradise,sld,176,12.61,12.71,10.84,12.93,-1.77,-14.04,0.22,1.73
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.18,1.05,0.18,1.63,0.00,0.00,0.58,55.24
Admiral Beckett Brass,plst,XLN-217,0.37,,0.33,,-0.04,-10.81,,
Ragged Playmate,dsk,150,0.08,0.18,0.05,0.15,-0.03,-37.50,-0.03,-16.67
Mulch,c15,191,0.33,,0.18,,-0.15,-45.45,,
Whiptongue Hydra,c18,36,1.14,,0.65,,-0.49,-42.98,,
Wall of Roots,f08,7,,5.04,,2.52,,,-2.52,-50.00
Pugnacious Hammerskull,plci,208p,0.39,0.99,0.43,0.73,0.04,10.26,-0.26,-26.26
War Historian,mom,214,0.03,0.01,0.02,0.04,-0.01,-33.33,0.03,300.00
Searing Blaze,plst,WWK-90,0.44,,,,,,,
Siren's Call,ced,78,2.13,,0.60,,-1.53,-71.83,,
Mystical Tutor,dmr,421,15.38,15.91,9.85,15.21,-5.53,-35.96,-0.70,-4.40
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.20,0.53,0.11,0.34,-0.09,-45.00,-0.19,-35.85
Selvala's Enforcer,cns,40,0.15,0.60,0.08,0.36,-0.07,-46.67,-0.24,-40.00
Coalstoke Gearhulk,pdft,198s,,1.33,,0.89,,,-0.44,-33.08
Fresh Meat,nph,109,0.22,0.93,0.18,1.39,-0.04,-18.18,0.46,49.46
Orzhov Guildgate,gtc,244,0.24,0.69,0.08,0.83,-0.16,-66.67,0.14,20.29
Mortify,ltc,269,0.35,,0.19,,-0.16,-45.71,,
Bird,totj,7,,,,,,,,
